,Review,Cleaned_Review,Category
19,It was comfortable and spacious room with facilities in the room which i was pleased with extra blankets! Thank you.,comfortable spacious room facilities room please extra blanket thank,1
20,room,room,1
21,Bed,bed,1
22,Served Hot Food till late.,serve hot food till late,1
23,"Ornate and clean, well situated and mostly pleasant staff",ornate clean well situate mostly pleasant staff,1
24,"The location is decent, with a very standard view. The hotel staff overall have excellent service and are very helpful. It was a very pleasant stay, would easily recommend.",location decent standard view hotel staff overall excellent service helpful pleasant stay would easily recommend,1
25,Very polite staff,polite staff,1
26,Was nice and clean,nice clean,1
27,Friendly staff great location,friendly staff great location,1
28,"The staff, view and upgraded room.",staff view upgrade room,1
29,Bar,bar,1
30,Everything was pretty cool,everything pretty cool,1
31,Value for money,value money,1
32,Nice room space,nice room space,1
33,I have stayed here many times. The staff are very helpful. The breakfast is very good. Felt very comfortable with the cleanliness and the instructions due to covid. Its a very value for money hotel.,stay many time staff helpful breakfast good felt comfortable cleanliness instructions due covid value money hotel,1
34,The dressing table need to spray over.,dress table need spray,1
35,Staff was friendly and the service met my standards would definitely recommend,staff friendly service meet standards would definitely recommend,1
36,Excellent location and staff,excellent location staff,1
37,Friendly staff. Great location . Great breakfast,friendly staff great location great breakfast,1
38,staff very helpful and polite,staff helpful polite,1
39,Staff was great,staff great,1
40,Great location and good value nice clean room with a comfortable bed.,great location good value nice clean room comfortable bed,1
41,All fine. Room smelled faintly of smoke.,fine room smell faintly smoke,1
42,Great room and was clean,great room clean,1
43,The eclectic style,eclectic style,1
44,Close to Tesco,close tesco,1
45,"Brittania has a bit of a reputation but if your into the authentic old fashioned look then you may like it, chandelier hallways, status and vintage-like paintings on the walls and even unusual not common objects like a bidet shower in the bathroom this hotel definitely has character. Big spacious baths and others being jacuzzi baths some of the rooms have spiral staircases and a nice view of the river Thames. Majority of the staff are very friendly assertive and try to meet any needs. Jubilee mall close by which is nice to have a shop at or even just a walk around. Great location",brittania bite reputation authentic old fashion look may like chandelier hallways status vintagelike paint wall even unusual not common object like bidet shower bathroom hotel definitely character big spacious bath others jacuzzi bath room spiral staircases nice view river thames majority staff friendly assertive try meet need jubilee mall close nice shop even walk around great location,1
46,"Location, cheap beer at the bar and friendly staff",location cheap beer bar friendly staff,1
47,Room was spacious and clean. Location was great.,room spacious clean location great,1
48,Noisy neighbours throughout the night- noise coming through air conditioning vents from nearby room,noisy neighbour throughout night noise come air condition vent nearby room,1
49,Loved the location :),love location,1
50,The spacious room and fabulous view.,spacious room fabulous view,1
51,"The staff, decor and cleanliness. 
Remote protected. 
Parking (£25)",staff decor cleanliness remote protect park,1
52,The staff,staff,1
53,"Good location, cheap price but comfortable",good location cheap price comfortable,1
54,Bathrobes and slippers would of been very nice,bathrobes slippers would nice,1
55,Staff were once again excellent.,staff excellent,1
56,"The rooms were spacious,the bar was excellent especially the bar man.all the staff were 1st class",room spaciousthe bar excellent especially bar manall staff st class,1
57,"Required to check out too early. I had to pay £20 for two additional hours.
Also, no halal meat options available",require check early pay two additional hours also halal meat options available,1
58,The normal breakfast was good but vegetarian option was poor. Sanitisation points were good.,normal breakfast good vegetarian option poor sanitisation point good,1
59,We had an old Can of redbull under our bed,old redbull bed,1
60,Quite environment,quite environment,1
61,Room was nice. A good size if staying here definitely ask for a window room. Good location. Not far to walk to train station,room nice good size stay definitely ask window room good location not far walk train station,1
62,Clean and hall all I required,clean hall require,1
63,"The receptionist kindly upgraded my (double) room to one with a view.
It was a very large room for one described as a double, especially at the price paid.
The room had nice, old-school, wooden furniture.
It felt like a proper hotel, but could do with some TLC.
It had a nice seating area, with a view of the waters.
The location is pretty good.",receptionist kindly upgrade double room one view large room one describe double especially price pay room nice oldschool wooden furniture felt like proper hotel could tlc nice seat area view water location pretty good,1
64,Ok,ok,1
65,great value,great value,1
66,Good staff,good staff,1
67,Location and view,location view,1
68,The bathroom,bathroom,1
69,Good quality - price location,good quality price location,1
70,The traditional decor and gorgeous Docklands view is amazing.,traditional decor gorgeous docklands view amaze,1
71,Great location,great location,1
72,Phone in room wasn't working. Wifi was limited to 20 minutes in the room,phone room not work wifi limit minutes room,1
73,Like the decor and the food was lovely,like decor food lovely,1
74,Room is good,room good,1
75,"We had an issue Friday night and they could not have been more helpful, free drink vouchers and moved our room and gave us a free upgrade for our 2nd night,",issue friday night could not helpful free drink vouchers move room give us free upgrade nd night,1
76,Easy and friendly check-in. Room was spacious and comfortable with a nice size bathroom. Everything that I expected and a little bit more. The hotel is located on the waterfront with a large selection of shops and restaurants and all things bright and beautiful which are attractive to tourists so it really was an ideal location.,easy friendly checkin room spacious comfortable nice size bathroom everything expect little bite hotel locate waterfront large selection shop restaurants things bright beautiful attractive tourists really ideal location,1
77,Lovely old hotel,lovely old hotel,1
78,"I love the bar , excellent",love bar excellent,1
79,👍,,1
80,No WiFi included,wifi include,1
81,It was covid 19 only open to key workers at the time of my stay the staff was fantastic for the time of my stay,covid open key workers time stay staff fantastic time stay,1
82,decent price and good location for a short stay,decent price good location short stay,1
83,The price and location were great.,price location great,1
84,The staff (Syl) was very professional and friendly.,staff syl professional friendly,1
85,"Very cost effective. Location is great for Canary Wharf. Basic but good room. Bit weird that there was a window in the roof, but no external window. Also, why are there odd and even rooms separated?",cost effective location great canary wharf basic good room bite weird window roof external window also odd even room separate,1
86,The bath was huge!,bath huge,1
87,Great value for your money,great value money,1
88,"I had made a mistake on booking my room booking a twin room instead of a double. I called prior to arriving and asked to change my reservation, the person attending the reception desk was very helpful and made the amendment without any issues. On arriving and checking in I was told that our room had been upgraded to a room with windows free of charge, usually a £20 p/night difference in price. Overall, we were very happy 😊",make mistake book room book twin room instead double call prior arrive ask change reservation person attend reception desk helpful make amendment without issue arrive check tell room upgrade room windows free charge usually pnight difference price overall happy,1
89,"Not what I was expecting, a basement room; felt claustrophobic",not expect basement room felt claustrophobic,1
90,"+ Great Location
+ Good Breakfast
+ Nice Bar
+ Decent sized room (Exec Double)",great location good breakfast nice bar decent size room exec double,1
91,Space in the roon6,space roon,1
92,Value for money... the room a bit basic but great for the price. Good meal in the restaurant. Clean room,value money room bite basic great price good meal restaurant clean room,1
93,Amazing views and they upgraded us to an executive room,amaze view upgrade us executive room,1
94,"Good location, friendly staff, and decent facilities. The staff was kind to give a complimentary upgrade with a windowed room.",good location friendly staff decent facilities staff kind give complimentary upgrade windowed room,1
95,Location. Staff were very friendly,location staff friendly,1
96,Ok,ok,1
97,The staff are very helpful.,staff helpful,1
98,Location and room space,location room space,1
99,It was nice and friendly,nice friendly,1
100,Very clean and the staff are very friendly. Overall a good value for money,clean staff friendly overall good value money,1
101,"Overall good. However borderline vintage; may need some updating i.e. Carpet, car park, etc.",overall good however borderline vintage may need update ie carpet car park etc,1
102,It was ok,ok,1
103,"Quick efficient check in
Large room",quick efficient check large room,1
104,"Location was near canary wharf and was planty food shops around area with a tescos too. 
Room was very large looked like a living room! Room 106 ground floor ((double bed without window)) had trouble turning tv on but called front desk sent an electrician straight away resolved problem. Nice mural of paris on the wall bathroom big and clean had a bathtub too really comfy.",location near canary wharf planty food shop around area tescos room large look like live room room grind floor double bed without window trouble turn tv call front desk send electrician straight away resolve problem nice mural paris wall bathroom big clean bathtub really comfy,1
105,"I like the furniture and how comfor table it is with the price .However, I think the hotel should provide the charger service. When i ask to borrow the charger for my phone , they said no charger in the hotel.",like furniture comfor table price however think hotel provide charger service ask borrow charger phone say charger hotel,1
106,Great with the exception of parking fees and noisy building site next door.,great exception park fee noisy build site next door,1
107,Cheap.,cheap,1
108,Location was excellent and the lake near by,location excellent lake near,1
109,"Size of the room, view, location",size room view location,1
110,Great location and very clean.,great location clean,1
111,No fridge in room - or option to buy refreshments from reception/ happy to pay would like option of cold drinks soft or alcohol. Only tea available in room / coffee.,fridge room option buy refreshments reception happy pay would like option cold drink soft alcohol tea available room coffee,1
112,Cost and location,cost location,1
113,"The location is unique , very close to Canary Wharf",location unique close canary wharf,1
114,Excellent price for Canary Wharf. Clean and friendly,excellent price canary wharf clean friendly,1
115,the hotel is excellent but its in lock down so no bar restaurant etc etc,hotel excellent lock bar restaurant etc etc,1
116,Location,location,1
117,Grand reception and nice view from there great staff,grand reception nice view great staff,1
118,Spacious Room and <5mins walk to the Thames River,spacious room mins walk thames river,1
119,Friendly staff very helpfull,friendly staff helpfull,1
120,Room had a nice view,room nice view,1
121,Staff were pleasant - everything else about the hotel was distinctly average.,staff pleasant everything else hotel distinctly average,1
122,Very friendly and helpful reception staff.,friendly helpful reception staff,1
123,"Staff members well excellent, especial Alina, Oana and Nouri.",staff members well excellent especial alina oana nouri,1
124,All staff were friendly and polite,staff friendly polite,1
125,I liked how clean it was and we had a good view outside,like clean good view outside,1
126,"The breakfast had a very good selection of hot and cold foods, all nicely cooked and the staff were all helpful and friendly. Nice relaxed atmosphere",breakfast good selection hot cold foods nicely cook staff helpful friendly nice relax atmosphere,1
127,Event cancelled very sympathetic staff,event cancel sympathetic staff,1
128,Staff are friendly and location is very convenient,staff friendly location convenient,1
129,Everything was fine,everything fine,1
130,"It’s a good location, it’s clean and the staff are friendly.",good location clean staff friendly,1
131,"Restaurant and food were pleasant, and clean. Rooms were big enough and also clean",restaurant food pleasant clean room big enough also clean,1
132,"I really like to stay there when I come to london, I’m in property business so I can meet my clients at the hotel. The stuff are amazing. I can’t complain 
The hotel looks a bit weird but who can complain for the price! 
Keep on the good work",really like stay come london I property business meet clients hotel stuff amaze not complain hotel look bite weird complain price keep good work,1
133,"The staff were welcoming on reception, friendly and accommodating. The facilities were clean and there was tea and coffee making facilities in the room. The breakfast was served over a reasonable time frame.",staff welcome reception friendly accommodate facilities clean tea coffee make facilities room breakfast serve reasonable time frame,1
134,Very good choice of bar and refreshment facilities.,good choice bar refreshment facilities,1
135,The room was spacious,room spacious,1
136,"This was a last minute booking as we were ment to be going to Italy.
When we arrived the staff were friendly and check in was quick. The reception was nice and spacious.
Lots of choice at breakfast.",last minute book ment go italy arrive staff friendly check quick reception nice spacious lot choice breakfast,1
137,Location is very good.,location good,1
138,The hotel was very clean & staff were very friendly we were upgraded to a suite on the 11th floor which was beautiful & a surprise,hotel clean staff friendly upgrade suite th floor beautiful surprise,1
139,The room size and the location,room size location,1
140,The room was spacious enough. The place was clean enough. Staff were quite lovely. Generally it was okay,room spacious enough place clean enough staff quite lovely generally okay,1
141,It’s handy for the O2,handy,1
142,The hotel couldn't be accessed by lifts had to struggled up from carpark with luggage and was charged £25 for the privilege. Hotel lifts were not functioning but staff seemed unconcerned. Room was dull and uninviting .windows had the handles removed so could not open for air .I was very disappointed with the experience. No wifi in room unless paid for,hotel could not access lift struggle carpark luggage charge privilege hotel lift not function staff seem unconcerned room dull uninviting windows handle remove could not open air disappoint experience wifi room unless pay,1
143,"I really appreciate the room availability and option to cancel on the same day. I actually appreciated having a room with no window, even though it is unusual, as I was able to get enough sleep. I also liked the fact there was a bath as well as a shower, and also coffee and tea available in the room.
The pizza items ordered from the restaurant, while overpriced, were good.",really appreciate room availability option cancel day actually appreciate room window even though unusual able get enough sleep also like fact bath well shower also coffee tea available room pizza items order restaurant overprice good,1
144,"The room was spacious which was great. Hotel is in a good location, its not too far from the station. The staff at the reception were pretty nice.",room spacious great hotel good location not far station staff reception pretty nice,1
145,Nothing specially it was just ok.,nothing specially ok,1
146,Location,location,1
147,Great location and reasonable price,great location reasonable price,1
148,It is large and well placed,large well place,1
149,I requested to be on one of the top floors and got that. Staff is friendly and helpful. My room was nice and clean with a good view of the city.,request one top floor get staff friendly helpful room nice clean good view city,1
150,Location,location,1
151,Bar view,bar view,1
152,The location if the hotel was very good and the hotel was very clean,location hotel good hotel clean,1
153,Very cold,cold,1
154,Great location,great location,1
155,"We got an upgrage, the room was large, clean, quiet and comfortable.",get upgrage room large clean quiet comfortable,1
156,"The location was great .... short walk to Restaurants and station ! 
Room quite clean",location great short walk restaurants station room quite clean,1
157,Very hard beds and being charged extra.,hard bed charge extra,1
158,Friendly and very helpful staff that sorted out the over charging.,friendly helpful staff sort charge,1
159,Internet service should not have limit in the room because most people work in their rooms compare to loby,internet service not limit room people work room compare loby,1
160,"Front entrance, vestibule and pleasant staff in restaurant who served decent food and good portions.",front entrance vestibule pleasant staff restaurant serve decent food good portion,1
161,"Loved the style of the place, the room was super clean and the coffee cups were large (it’s the little things that show someone has thought about things). Great location, fab value for money. Would stay again, definitely!",love style place room super clean coffee cup large little things show someone think things great location fab value money would stay definitely,1
162,Check - in was swift.,check swift,1
163,Check-in was swift. Just what we want this day and age.,checkin swift want day age,1
164,Nice breakfast,nice breakfast,1
165,"just a little tired: i.e. carpets worn etc, but very good value as a functional stay at the end of a day work - all i needed.",little tire ie carpet wear etc good value functional stay end day work need,1
166,Near to Canary wharf and easily commutable.,near canary wharf easily commutable,1
167,Location,location,1
168,"Good location, cheap for the location.",good location cheap location,1
169,"Location, Staff, View.",location staff view,1
170,Excellent location,excellent location,1
171,I’ve stayed here before and it’s been very comfortable both times. It’s fairly quiet and the shower is lovely.,I stay comfortable time fairly quiet shower lovely,1
172,The location and the staff,location staff,1
173,Lovely quiet room which surprised me as the hotel is so busy. Perfect location for Canary Wharf with shops and offices within an easy walking distance.,lovely quiet room surprise hotel busy perfect location canary wharf shop offices within easy walk distance,1
174,"I didn't have a breakfast, so I don't know",not breakfast not know,1
175,"Paid wifi, windows cant be open",pay wifi windows not open,1
176,Room spacious and clean but could do with update,room spacious clean could update,1
177,Great location. Nice bar with friendly staff. Everything that we needed was in the room.,great location nice bar friendly staff everything need room,1
178,Great location for bars and restaurants.,great location bar restaurants,1
179,"Clean and spacious rooms, good location",clean spacious room good location,1
180,Easy to find and easy to check in. Friendly staff at breakfast.,easy find easy check friendly staff breakfast,1
181,Ideal location for work,ideal location work,1
182,Very convenient location and delightful selection of food at breakfast. Really nice and comfortable reception area too.,convenient location delightful selection food breakfast really nice comfortable reception area,1
183,Check in,check,1
184,Good location for Canary Wharf good restaurant in the hotel and very clean,good location canary wharf good restaurant hotel clean,1
185,"Nice location, good price, TV in the room",nice location good price tv room,1
186,Room was very tired despite being upgraded,room tire despite upgrade,1
187,The hotel itself is well situated and very clean. The buffet is basic but edible. The staff were very nice and helpful.,hotel well situate clean buffet basic edible staff nice helpful,1
188,Upgrade to another room for just £10,upgrade another room,1
189,Ideal location for work,ideal location work,1
190,There was a mouse running around the breakfast room!!!,mouse run around breakfast room,1
191,Handy to the Canary Wharf station.,handy canary wharf station,1
192,Some parts of the room needed some repairs and redecorating,part room need repair redecorate,1
193,"I liked my room and how it was decorated, I also liked the young Russian receptionist who checked me in.",like room decorate also like young russian receptionist check,1
194,Location was ideal for our visit. Pizza restaurant very efficient as we were in a hurry to be somewhere.,location ideal visit pizza restaurant efficient hurry somewhere,1
195,Location only,location,1
196,Convenient location,convenient location,1
197,"Good location, friendly staff and value for money meals.",good location friendly staff value money meals,1
198,"Location, value money",location value money,1
199,The service of the staff was really good and exceeded my expectations. Friendly and warm welcoming. Room was a good size and room was pretty clean.,service staff really good exceed expectations friendly warm welcome room good size room pretty clean,1
200,Location,location,1
201,The room was set out well general cleanliness was good. All the facilities were great with plenty to do. Pizza kitchen was great and so was breakfast.,room set well general cleanliness good facilities great plenty pizza kitchen great breakfast,1
202,Great location but no free parking. Good facilities. Great value. Will stay again,great location free park good facilities great value stay,1
203,"The room was spacious and the view was lovely.
It was also nice and quiet",room spacious view lovely also nice quiet,1
204,Bathroom and the view out the window,bathroom view window,1
205,"The room was very spacious! Staff were all lovely and willing to help when needed. I felt very relaxed and comfortable in all parts of the hotel from my room, restraint and favourite place sitting in the bar with a glass of wine!",room spacious staff lovely help need felt relax comfortable part hotel room restraint favourite place sit bar glass wine,1
206,The stuff is very friendly,stuff friendly,1
207,"Large room size, warm on arrival, clean bathroom. Great towels and pillows. Had a great nights sleep - although I checked in at 11.30 pm and checked out at 7.30 am. Was a better experience than March 2016 when I stayed last.",large room size warm arrival clean bathroom great towel pillow great nights sleep although check pm check better experience march stay last,1
208,Location,location,1
209,"We were given a complimentary room upgrade, which was a nice start! The room was clean and exceeded my expectations Bathroom in particular was lovely! The hotel itself had everything needed - A lovely bar with good priced drinks (£10 for a beer and medium wine, not bad for london!) The bar seating area is right next to full length windows on the thames, stunning views! Staff very helpful and polite. Overall really nice stay and we'll be back! :-)",give complimentary room upgrade nice start room clean exceed expectations bathroom particular lovely hotel everything need lovely bar good price drink beer medium wine not bad london bar seat area right next full length windows thames stun view staff helpful polite overall really nice stay back,1
210,Convenient location and cheapest hotel in the area. Staff were friendly and helpful. Room was clean.,convenient location cheapest hotel area staff friendly helpful room clean,1
211,It was very old fashioned,old fashion,1
212,Like the staff,like staff,1
213,"The accommodation was good, with a large comfortable room overlooking the dock.",accommodation good large comfortable room overlook dock,1
214,"Tap broke off and water continued to gush out inti sink. I was moved into a new room which was ok. 
Woken up at 1:00am by very rowdy group of people in the corridor.",tap break water continue gush inti sink move new room ok wake rowdy group people corridor,1
215,"location great to go out in london, coffee & tea in room",location great go london coffee tea room,1
216,Calefaction in public areas,calefaction public areas,1
217,I loved the breakfast buffet. It was worth the extra £10 on the room price!,love breakfast buffet worth extra room price,1
218,"Excellent location, good breakfast.",excellent location good breakfast,1
219,Location and view,location view,1
220,"Hotel in great place
Hotel staff very friendly",hotel great place hotel staff friendly,1
221,Poor,poor,1
222,The service that we were able to upgrade to an other room.,service able upgrade room,1
223,"Generally the hotel was clean and pleasant. Nice area downstairs. Good price.
Concierge very helpful",generally hotel clean pleasant nice area downstairs good price concierge helpful,1
224,The bed was comfy and the check in/out process was quick. The price was very good as well.,bed comfy check inout process quick price good well,1
225,Nice big room for me and my partner,nice big room partner,1
226,The beds were comfy and the staff were friendly,bed comfy staff friendly,1
227,No smoking area inside the hotel its cold outside,smoke area inside hotel cold outside,1
228,"Warm welcome 
Pleasant staff",warm welcome pleasant staff,1
229,"The location is excellent. It is a bit away from London City, but there is very well connected with both tube and rail. You would reach London in ca 25 minutes. Access to shopping mall in 5 minutes walking with a huge variety of restaurants and coffee. We stayed only 1 night, so basically we used the hotel for that (sleep in).",location excellent bite away london city well connect tube rail would reach london ca minutes access shop mall minutes walk huge variety restaurants coffee stay night basically use hotel sleep,1
230,Free wifi,free wifi,1
231,Very Cheap for hotels in the Canary Wharf area.,cheap hotels canary wharf area,1
232,Easy access...,easy access,1
233,Staff very friendly.,staff friendly,1
234,"The location was great! Room was spacious. And the food, especially the vast breakfast spread was the best part of the deal!",location great room spacious food especially vast breakfast spread best part deal,1
235,Reception service.,reception service,1
236,Spacious Room and ambience.,spacious room ambience,1
237,Nice sized room with nostalgic decor.,nice size room nostalgic decor,1
238,Very close to ExCel,close excel,1
239,Great location for Canary wharf area. The Bombay Quay restaurant near by was excellent.,great location canary wharf area bombay quay restaurant near excellent,1
240,not a lot,not lot,1
241,"The staff were cool, the hotel and rooms were amazing, price brilliant I'm thinking of using it again real soon",staff cool hotel room amaze price brilliant I think use real soon,1
242,Site and staff helpful,site staff helpful,1
243,"Amar, the floor manager, was super helpful!",amar floor manager super helpful,1
244,"Good breakfast, near the tube station",good breakfast near tube station,1
245,The room was spacious enough and the bathroom was comfortable to use.,room spacious enough bathroom comfortable use,1
246,Made to feel welcome at check in desk,make feel welcome check desk,1
247,Zona bar sui canali del Tamigi molto suggestivo,zona bar sui canali del tamigi molto suggestivo,1
248,Price,price,1
249,"Very clean hotel, good food and nice bar",clean hotel good food nice bar,1
250,"The property is in need of a little TLC, having said that it’s good value for money",property need little tlc say good value money,1
251,Location was close to transport,location close transport,1
252,Location,location,1
253,Location was good for the o2,location good,1
254,We were greated very welcoming apon arrival the lady that checked us in was very good and very clear however I've never stated in a booking. Com Hotel where they tryed to take the first night's payment before you've even arrived and not very clear about breakfast we were under the conclusion that though you have to pay for breakfast that if you stay over the weekend you get a discount witch was fine but the Sunday we had to pay full price don't get me wrong but it was a good breakfast all you can eat me and my husband ate do much we didn't need to eat the whole day very hot lots of choices and presented very well just needed to be made clearer staff very friendly made jokes very welcoming food still available till 1am on the morning and drinks downstairs was clean and you could come and go as you pleased which was good as we viseted family no noise from others but we was so tired to notice comfortably bed it's not that bad hotel it's better than what I have stayed in and a bed I could lay my head at I would come again if they addressed the issues I complained about,greated welcome apon arrival lady check us good clear however I never state book com hotel try take first nights payment even arrive not clear breakfast conclusion though pay breakfast stay weekend get discount witch fine sunday pay full price not get wrong good breakfast eat husband eat much not need eat whole day hot lot choices present well need make clearer staff friendly make joke welcome food still available till morning drink downstairs clean could come go please good viseted family noise others tire notice comfortably bed not bad hotel better stay bed could lay head would come address issue complain,1
255,The dinner did not have many veg options,dinner not many veg options,1
256,"The location ,food,staff .the restaurant food was nice",location foodstaff restaurant food nice,1
257,Location,location,1
258,Great location (very close to Canary Wharf) and rooms are quite large.,great location close canary wharf room quite large,1
259,"Size of room, cleanliness was okay",size room cleanliness okay,1
260,"I do like the main entrance is great, restaurant with water see, bar, green sofas. the day/ night staff were helpful and provided more details when asked somethings. 
Nice bedroom .",like main entrance great restaurant water see bar green sofas day night staff helpful provide detail ask something nice bedroom,1
261,Ideal for what we required,ideal require,1
262,Location is perfect,location perfect,1
263,It was quite quiet considering it’s right next to DLR,quite quiet consider right next dlr,1
264,"For £47 a night in Canary Wharf it’s fine. It was warm and clean, if a bit tired and worn. Food in the all you can eat for £15 was all ok. If your looking for somewhere flash, go somewhere else, if you want somewhere very cheap that you’re just using to sleep in, this fits the bill. Will use again while in this part of London for work.",night canary wharf fine warm clean bite tire wear food eat ok look somewhere flash go somewhere else want somewhere cheap use sleep fit bill use part london work,1
265,Clean,clean,1
266,"The room was lovely and clean, plenty of information in the room if you needed anything.",room lovely clean plenty information room need anything,1
267,"Breakfast was a huge let down. The windowless rooms in the basement was value for money, They offered upgrades!",breakfast huge let windowless room basement value money offer upgrade,1
268,Size of the room.,size room,1
269,"We were very happy with the hotel and breakfast was good.
We were a little concerned because of some negative reviews , but shouldn't have been as the hotel and facilities were good.",happy hotel breakfast good little concern negative review not hotel facilities good,1
270,Comfy beds,comfy bed,1
271,"The beds were really hard and uncomfortable, funky smell coming from the bathrooms",bed really hard uncomfortable funky smell come bathrooms,1
272,"Very close to canary wharfe, great parking station under the circle. £30 for 2 nights/3days.",close canary wharfe great park station circle nightsdays,1
273,Location,location,1
274,Venue,venue,1
275,"Good location, specious room. I would say value for the money.",good location specious room would say value money,1
276,Very convenient for Canary Wharf,convenient canary wharf,1
277,Staff are very slow in the process of check in. I have waited almost 40-50 mins . that was make me crazy.,staff slow process check wait almost mins make crazy,1
278,"Once we checked in we went straight to the bar and got some drinks, we had to return 2 of the drinks as they were not drinkable. Also the payment for the rooms appeared twice on my statement.",check go straight bar get drink return drink not drinkable also payment room appear twice statement,1
279,"I did not like the £60 fine I received 2 weeks later form the hotels car park company . after emailing the hotel that the reception was at fault I was contacted buy the manager i explained on the night hotel was very busy, we agreed to pay a £15 on the night for parking and card was used to take payment, which never processed for some reason unknown. The hotel will not take responsibility for there mistake and want me to take up with an un contactable company.",not like fine receive weeks later form hotels car park company email hotel reception fault contact buy manager explain night hotel busy agree pay night park card use take payment never process reason unknown hotel not take responsibility mistake want take un contactable company,1
280,"The hospitality and kindness, not too mention the well above average size of a very affordable room, with its period furniture in outstanding state and a massive iacuzzi bath",hospitality kindness not mention well average size affordable room period furniture outstanding state massive iacuzzi bath,1
281,It took over 20 minutes to book in on arrival......frigging joke.,take minutes book arrivalfrigging joke,1
282,"Good location, accessible to transport and shops within walking distance",good location accessible transport shop within walk distance,1
283,I did not like the size of the bed way to small and the place bath system jet did not work.,not like size bed way small place bath system jet not work,1
284,"Good price, clean and tidy with friendly staff",good price clean tidy friendly staff,1
285,location is perfect fr canary wharf- car park on site which is great for this part of the city; standard but clean,location perfect fr canary wharf car park site great part city standard clean,1
286,Not bad. Sausages rather unattractive!,not bad sausages rather unattractive,1
287,"The location is very convenient, the center is only 2-3 metro stops away and the neighbourhood is very safe and modern with lots of shops and restaurants, it’s the business district after all. 
The place is overall great value for money, very comfortable with all the bare necessities after a day of exploring London: clean room, hot water, AC.",location convenient center metro stop away neighbourhood safe modern lot shop restaurants business district place overall great value money comfortable bare necessities day explore london clean room hot water ac,1
288,Ms Louisa in the Reception is very helpfull and polite person. I would like to say thankyou to her.,ms louisa reception helpfull polite person would like say thankyou,1
289,Location,location,1
290,"We had an upgrade ( no extra charge) to a room with a window.
The lady in the bar was very friendly and helpful.",upgrade extra charge room window lady bar friendly helpful,1
291,Location,location,1
292,Room was dated but clean,room date clean,1
293,good,good,1
294,Nice view,nice view,1
295,I liked the place where is situated.,like place situate,1
296,Good location,good location,1
297,The rooms where ok,room ok,1
298,Everything is simple,everything simple,1
299,"Ideal location for us. Rooms in need of a makeover as they looked very tired.
Chair was ripped & the carpet by the bedside table. The whole room needed a makeover ASAP",ideal location us room need makeover look tire chair rip carpet bedside table whole room need makeover soon possible,1
300,"The hotel overall is quite clean, staff is respectful.",hotel overall quite clean staff respectful,1
301,The public areas were nice and the staff were lovely.,public areas nice staff lovely,1
302,The location is close to the train station and it is easier to commute,location close train station easier commute,1
303,"the room was clean and comfortable.
the staff were very friendly",room clean comfortable staff friendly,1
304,There were no bed side plugs for phone charging.,bed side plug phone charge,1
305,"View from room, staff and pizzeria we're fast, professional and extremely friendly.",view room staff pizzeria fast professional extremely friendly,1
306,Staff were very approachable & the location was perfect for sales shopping.,staff approachable location perfect sales shop,1
307,It was okay but the heating was stuck on 30 degrees so we were so hot and could not sleep ... the windows could not be opened ... i did tell reception when we checked out,okay heat stick degrees hot could not sleep windows could not open tell reception check,1
308,"Clean spacious, friendly staff. Some effort made for Christmas was nice to see.",clean spacious friendly staff effort make christmas nice see,1
