,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
10,Angela,United Kingdom,Double Guest Room,1 night ·  December 2020,Couple,Reviewed: 9 December 2020,Exceptional,Perfect location.The while hotel was immaculate,Not Available,10
11,Christine,United Kingdom,Double Guest Room,1 night ·  November 2020,Couple,Reviewed: 29 November 2020,Amazing,Very clean spacious and comfortable,The tea options and breakfast options wasn’t great that’s due to covid,10
12,Awais,United Kingdom,Double Guest Room,1 night ·  October 2020,Couple,Reviewed: 27 November 2020,Great stay would recommend,Great location and parking is available on site. Hotel is also clean and tidy.,Not Available,8.0
13,David,United Kingdom,Double Guest Room,1 night ·  November 2020,Solo traveller,Reviewed: 25 November 2020,Very satisfying,"Room was nice clean and roomy , ordered food for room service quality was brilliant,",Nothing,8.0
14,Ayo,United Kingdom,Double Guest Room,1 night ·  November 2020,Solo traveller,Reviewed: 12 November 2020,Superb,Customer service,Charges for car park,9.0
15,Philip,United Kingdom,Double Guest Room,3 nights ·  October 2020,Couple,Reviewed: 8 November 2020,Absolutely Fantastic,"Great Location. Hotel felt like it was brand new!
Immaculate and clean - can’t wait to return.",Not Available,10
16,Sasha,United Kingdom,Double Guest Room,2 nights ·  November 2020,Solo traveller,Reviewed: 8 November 2020,Very good,"Excellent stuff, super helpful and welcoming. Nice hotel close to everything at Canary wharf. Would be happy to be back for my next business trip.",Nothing,8.0
17,Meer,United Kingdom,Deluxe King Room with Sofa Bed (2 Adults + 2 Children),2 nights ·  November 2020,Family,Reviewed: 5 November 2020,Excellent,Been given a room on the river view as requested and was quiet and kids loved it.,No facilities or leisure activities.,10
18,Lakhwinder,United Kingdom,Twin Guest Room,1 night ·  October 2020,Family,Reviewed: 3 November 2020,Very good hotel,Good stay,Not Available,9.0
19,Bill,United Kingdom,Double Guest Room,1 night ·  October 2020,Couple,Reviewed: 2 November 2020,the wife was very happy as it was her birthday,we had room service which was fantastic,the staff,9.0
20,Ryan,United Kingdom,Double Guest Room,1 night ·  November 2020,Couple,Reviewed: 2 November 2020,Excellent will return,"Room clean, tidy and spacious",Mini bar not available,8.0
21,Melanie,United Kingdom,Double Guest Room,1 night ·  November 2020,Couple,Reviewed: 1 November 2020,Very enjoyable staff were very pleasant,"Free room upgrade on arrival as our room was not ready which was very much appreciated. The room was really big and comfortable. Room service and breakfast was great, excellent location.",Not Available,9.0
22,Alvin,United Kingdom,Double Guest Room,1 night ·  October 2020,Couple,Reviewed: 31 October 2020,One of the best places to relax,"Absolutely one of the best places to go to. Staff were very polite and friendly. The place was spotless, very clean. The food and catering staff was great, very polite and welcoming.They made sure that we were looked after and catered for my dietary needs. I am looking forward to going back.",Nothing... No faults,10
23,Georgia,United Kingdom,Double Guest Room,1 night ·  September 2020,Couple,Reviewed: 26 October 2020,Exceptional,Amazing hotel would definitely go again,Not Available,10
24,Jasminka,United Kingdom,Double Guest Room,1 night ·  October 2020,Couple,Reviewed: 24 October 2020,Exceptional,"Staff are so nice & welcoming 
The room was clean and tidy",I liked everything !,10
25,Fyza,United Kingdom,Double Guest Room,2 nights ·  September 2020,Couple,Reviewed: 24 October 2020,Exceptional,All services were amazing,Not Available,10
26,Malcolm,United Kingdom,Double Guest Room,1 night ·  October 2020,Solo traveller,Reviewed: 21 October 2020,Very good,"It was what I would expect from Hilton branded hotel 
Friendly and efficient",Location and the hotel was clean and efficient,8.0
27,Jennifer,United Kingdom,Two-Bedroom Family Room,2 nights ·  October 2020,Family,Reviewed: 18 October 2020,Highly recommended would book again.,"The hotel was very clean, good value for money and staff extremely helpful and welcoming.",Nothing,9.0
28,Nikita,United Kingdom,Deluxe King Room,2 nights ·  October 2020,Couple,Reviewed: 17 October 2020,Exceptional,The staff were extremely friendly and helpful!,N/A,10
29,Billy,United Kingdom,Double Guest Room,2 nights ·  September 2020,Group,Reviewed: 17 October 2020,Exceptional,Comfortable,Not Available,10
30,Elaine,United Kingdom,Twin Guest Room,3 nights ·  October 2020,Couple,Reviewed: 13 October 2020,Superb,Room was very good value for money,Not Available,9.0
31,Laura,France,Double Guest Room,2 nights ·  October 2020,Solo traveller,Reviewed: 13 October 2020,"Great stay, I extended my trip in this hotel. However, breakfast was not good at all !","Great service
Rooms are clean with a nice space
Great location
Calm and well isolated","Missing a few basics items (robe, soaps) in the room
Breakfast was not good",8.0
32,Aneika,United Kingdom,Double Guest Room,1 night ·  October 2020,Couple,Reviewed: 10 October 2020,Superb,Appliances,Antibacterial gel or wipes,9.0
33,Colin,United Kingdom,Double Guest Room,1 night ·  October 2020,Couple,Reviewed: 10 October 2020,Great,All the staff were very friendly and welcoming,Not Available,9.0
34,Maud,United Kingdom,Double Guest Room,1 night ·  September 2020,Group,Reviewed: 10 October 2020,Very good,"I know due to sound proof issues and it’s location , I was desperate for a balcony or open window style but I guess Docklands would favour that.",Not Available,8.0
35,Mark,United Arab Emirates,Double Guest Room,2 nights ·  October 2020,Couple,Reviewed: 9 October 2020,Superb,Location,Not Available,9.0
36,Colin,United Kingdom,Double Guest Room,1 night ·  October 2020,Couple,Reviewed: 6 October 2020,Excellent stay apart from the weather and CV19 (neither of which the Hilton can control). :),"Decent size, very clean and tidy.","Walk-in showers would be a big plus.... over the bath shower not so great. :(
Hilton London Bridge has speakers in the bathrooms, love that!",9.0
37,Adeyinka,United Kingdom,Deluxe King Room with Sofa Bed (2 Adults + 2 Children),1 night ·  October 2020,Family,Reviewed: 5 October 2020,Exceptional,Friendly staffs,Will like to come again for holidays stay,10
38,R,United Kingdom,King Junior Suite,1 night ·  October 2020,Family,Reviewed: 5 October 2020,BEAUTIFUL. JUST BEAUTIFUL,BLOWN MY EXPECTATIONS. JUNIOR SUITE SPOT ON,Not Available,10
39,Vanessa,United Kingdom,Twin Guest Room,1 night ·  October 2020,Family,Reviewed: 4 October 2020,Very good,Staff made a great first impression,Not Available,8.0
40,Daniel,United Kingdom,Family Room with Double Bed,1 night ·  October 2020,Family,Reviewed: 4 October 2020,Exceptional,Closeness to everything and friendly staff,Did not know they would charge for parking. It wasn’t made obvious there would be a charge for it.,10
41,Adrian,United Kingdom,Double Guest Room,10 nights ·  September 2020,Solo traveller,Reviewed: 4 October 2020,"cheerful and helpful staff, lovely atmosphere despite the times we are working in.","The staff were amazing; all friendly, helpful and went beyond to assist with taking post/deliveries for me and always texting with information. This is the 4th Hilton I have stayed in over a 6 week period and they have been consistently good. I would certainly return.",Not Available,10
42,Annum,United Kingdom,Two-Bedroom Family Room,2 nights ·  September 2020,Family,Reviewed: 1 October 2020,Amazing!!,The staff are very friendly and welcoming,Few issues with breakfast but it was dealt with promptly and efficiently.,10
43,Gabriel,United Kingdom,Double Guest Room,1 night ·  September 2020,Solo traveller,Reviewed: 30 September 2020,Fabulous,The staff were very kind and willing to help at all times! And the front desk reception can be reached 24/7!,N/A,9.0
44,Phil,United Kingdom,Double Guest Room,3 nights ·  September 2020,Family,Reviewed: 28 September 2020,The Canaries on the Wharf,"Room, Gym and the lad behind reception (Arsenal fan, possible DM)
Thank you - excellent service",Not Available,9.0
45,Harvey,United Kingdom,Double Guest Room,1 night ·  September 2020,Couple,Reviewed: 28 September 2020,Excellent,"We had an issue with our toilet leaking in our room, the staff the dealt with it straight away & moved us to a different room - they even upgraded us! 
Room service was excellent, couldn't fault the way the staff provided for us during the Covid rules.",Not Available,10
46,Lemonade,United Kingdom,Double Guest Room,1 night ·  September 2020,Couple,Reviewed: 27 September 2020,Excellent,Had the most amazing stay!!!,Nothing,8.0
47,R_awilliams,United Kingdom,Double Guest Room,3 nights ·  August 2020,Couple,Reviewed: 27 September 2020,Exceptional,"Location is superb. Hotel is nice and clean, polite and helpful staff.",Not Available,10
48,Dion,United Kingdom,Double Guest Room,2 nights ·  August 2020,Couple,Reviewed: 25 September 2020,"Excellent location, friendly staff and very comfortable room.","The location was great, as long as you are competent with using the tube. We very much enjoyed our stay in here as we could walk or catch the tube nearly everywhere we wanted to go in London even with some stations closed due to COVID!
Staff were welcoming and lovely and the room/bed was very comfortable.",The bathroom let it down a little for us. It was more than adequate but the shower/bath was a bit awkward to stand in and the facilities were starting to feel a bit outdated compared to most other hotels/resorts we have stayed in with a similar star rating.,8.0
49,Itu,United Kingdom,Double Guest Room,1 night ·  August 2020,Couple,Reviewed: 25 September 2020,Best stay,I liked how clean and friendly the staff was,Not Available,10
50,Mberry,United Kingdom,Two-Bedroom Family Room,1 night ·  September 2020,Group,Reviewed: 25 September 2020,Exceptional,Great,Nothing,10
51,Yee,United Kingdom,Double Guest Room,2 nights ·  August 2020,Couple,Reviewed: 23 September 2020,Satisfactory in general in view of the the pandemic,No choice for breakfast.,Operate a proper cafe with service.,8.0
52,John,United Kingdom,Twin Guest Room,1 night ·  September 2020,Family,Reviewed: 20 September 2020,"All in all, a very pleasant stay. We will probably use the hotel again going forward.","Internal design; efficiency of check in; quality of the public areas, convenience of the location, the quality of the workmanship on internal fitments and finishes. 
The was not particularly busy, and we appreciate that this afforded a degree of latitude in check out time.
All in all, a very pleasant stay.
The only criticism is that from my perspective the water pressure of the shower is not good enough.
John Ramage.",The water pressure of the shower is not good enough.,9.0
53,Christine,United Kingdom,Twin Guest Room,1 night ·  September 2020,Family,Reviewed: 20 September 2020,Excellent all round,Brilliant selection at breakfast and fresh coffee was just right.,Use of sauna prohibited.,9.0
54,Derek,United Kingdom,King Junior Suite,1 night ·  September 2020,Couple,Reviewed: 20 September 2020,Very good,"Good location, good staff , secure parking",Not Available,8.0
55,Edi,United Kingdom,Double Guest Room,1 night ·  September 2020,Solo traveller,Reviewed: 19 September 2020,Very good,Very good,Good,8.0
56,Hobday,United Kingdom,Double Guest Room,1 night ·  September 2020,Couple,Reviewed: 19 September 2020,Very good,Food was not well presented,food presentation was not good,8.0
57,Zayed,United Kingdom,Double Guest Room,1 night ·  September 2020,Couple,Reviewed: 18 September 2020,Exceptional,Best,Parking,10
58,James,United Kingdom,Double Guest Room,1 night ·  September 2020,Couple,Reviewed: 17 September 2020,Great value great location great hotel!,It is such a good location close to the DLR and Jubilee Line and walking distance to the Canary Wharf bars and restaurants. The room was great and very comfortable.,Paper cups in the mini bar but understand why this is necessary.,9.0
59,Chousublime,United Kingdom,Deluxe King Room with Sofa Bed (2 Adults + 2 Children),2 nights ·  September 2020,Family,Reviewed: 17 September 2020,Very good,Everything was good. Breakfast and room,N/A,8.0
60,Mehak,United Kingdom,Double Guest Room,1 night ·  September 2020,Group,Reviewed: 17 September 2020,Impeccable!,"Spacious room, cleanliness was 10/10, blackout curtains, amazing comfortable bed, modern interior and all in all fab experience!","More selection of tea and coffee, maybe shoul also have small snacks given with it as ive experienced that in novotel hotel!",10
61,Angela,United Kingdom,Double Guest Room,1 night ·  September 2020,Group,Reviewed: 17 September 2020,Amazing staff,"This hotel is amazingly clean and beautiful. 
The staff are beyond amazing. So so helpful. A pleasure and I will return",Nothing,10
62,Priscilla,United Kingdom,Twin Guest Room,1 night ·  September 2020,Group,Reviewed: 14 September 2020,Exceptional,The hotel room was clean and specious. Conveniently located. Beautiful views nearby.breakfast was really good their Cumberland sausage was 👌,It surpassed my expectations nothing to complain. Excellent service and really friendly staff..,9.0
63,Dorcas,United Kingdom,Two-Bedroom Family Room,1 night ·  September 2020,Family,Reviewed: 13 September 2020,Exceptional,The room was big enough and the breakfast so delicious,Everything was fine.,10
64,Ifeoluwa,United Kingdom,Deluxe King Room,2 nights ·  September 2020,Couple,Reviewed: 13 September 2020,We really enjoyed our stay. Mostly I brought my partner here for getawayI’m glad he really loved it,Breakfast was nice. We love it,The parking facilities and the price,9.0
65,Olarinde,United Kingdom,Double Guest Room,1 night ·  September 2020,Couple,Reviewed: 13 September 2020,Beautiful!,Clean large space with excellent views,Nothing!,10
66,Sean,United Kingdom,Executive King Room,1 night ·  September 2020,Solo traveller,Reviewed: 11 September 2020,Pleasant staff and excellent location,Staff were very welcoming and made checking in/out very pleasant. Great location right in the middle of Canary Wharf.,Everything was good,8.0
67,Christian,United Kingdom,Double Guest Room,2 nights ·  September 2020,Solo traveller,Reviewed: 10 September 2020,"affordable, great location, very clean and very comfy!",Room was very clean very discreet i felt very secure and quite frankly very happy! Home away from home.,"I would have loved to be wearing a towel robe, even tho this is not important and either way i did not ask staff if this was available on request.",10
68,Jonathan,United Kingdom,Double Guest Room,1 night ·  September 2020,Couple,Reviewed: 7 September 2020,Exceptional,Rooms nice and clean. Staff attentive and helpful. All followed covid guidelines.,Really no complaints at all.,10
69,Ian,United Kingdom,Double Guest Room,1 night ·  September 2020,Couple,Reviewed: 7 September 2020,Nice Big Room,"Nice big room, all very clean and tidy, Good nights sleep in a comfortable bed.",Not Available,8.0
70,Mahfuz,United Kingdom,Two-Bedroom Family Room,1 night ·  September 2020,Family,Reviewed: 5 September 2020,Very friendly staff and service really recommend it,The service was fast everything was 10-10 clean,The way it is presented,10
71,Shuhela,United Kingdom,Two-Bedroom Family Room,1 night ·  September 2020,Family,Reviewed: 4 September 2020,"Family friendly hotel, very clean and excellent service.",Excellent service and breakfast was delicious very pleased with the hotel and I will definitely come and stay again.,I honestly cannot fault this hotel everything was perfect.,10
72,Brandon,United Kingdom,Double Guest Room,1 night ·  August 2020,Couple,Reviewed: 4 September 2020,Excellent reception,The overall cleanliness of the hotel was top tier and the staff were very helpful and attentive even in areas which were not their concern. Would love to stay again!,Not Available,9.0
73,Sandra,United Kingdom,Double Guest Room,1 night ·  August 2020,Couple,Reviewed: 3 September 2020,Very good,We needed to check in earlier and the staff were very accommodating. We enjoyed our stay.,Not Available,8.0
74,David,United Kingdom,Double Guest Room,1 night ·  August 2020,Couple,Reviewed: 2 September 2020,Good experience,Did not have breakfast,All ok,8.0
75,Rizzy,United Kingdom,Deluxe King Room with Sofa Bed (2 Adults + 2 Children),1 night ·  August 2020,Family,Reviewed: 31 August 2020,Super would come back,"Breakfast was lovely 
Maybe pancake or waffle and Nutella option for children.",Not Available,10
76,Suresh,United Kingdom,Two-Bedroom Family Room,1 night ·  August 2020,Family,Reviewed: 29 August 2020,Superb,Staff was great breakfast was good,We left 5 bags in clock room so we will pick later but they handed over only two when we realise our three bag still in hotel we have to come back from Birmingham to pick our bag so more then 2 hours journey we had to do again,9.0
77,Sarfraz,United Kingdom,Double Guest Room,1 night ·  August 2020,Group,Reviewed: 27 August 2020,Amazing,The only issue was car park spaces,Na,10
78,Michael,New Caledonia,Two-Bedroom Family Room,3 nights ·  August 2020,Family,Reviewed: 26 August 2020,Great rooms and really great value just breakfast disappointing and like boarding school on last day,"We stayed for 3 nights.
The room: super comfortable, and with three children we had two rooms with interconnection. It was perfect.
The rooms are spacious, quiet, fitted to a high standard.
Parking: perfect, and lift directly to our floor.
Room service was fast and efficient.
Reception: very helpful on check-in.
Short drive or Uber into central London
Good choice of restaurants nearby.","Breakfast: too basic, left still feeling hungry. No self-service or buffet, last morning had to say what we wanted which was wqritten down, and took a good time to appear. The hot chocolates the children wanted and had had the previous 2 days we were told had run out. I didn't believe this and said so, and then a few minutes later they appeared. We didnt like the scrutiny and having to tell someone in detail what each person wanted in our group of 5.
The coffee: sorry, cheaply-made machine drinks.",8.0
79,Zafar,United Kingdom,Two-Bedroom Family Room,2 nights ·  August 2020,Family,Reviewed: 26 August 2020,Safe stay,Everything,The price of breakfast with less than half the items on offer. The price should be halved too right?,10
80,Andre,United Kingdom,Double Guest Room,1 night ·  July 2020,Couple,Reviewed: 26 August 2020,Superb,"Location excellent, nice room, parking on site,",Not Available,9.0
81,Nicola,United Kingdom,Deluxe King Room,1 night ·  July 2020,Couple,Reviewed: 22 August 2020,Night stop,Shame restaurant was not open for breakfast,Got lovley upgrade when we arrived,10
82,David,United Kingdom,Double Guest Room,1 night ·  August 2020,Couple,Reviewed: 22 August 2020,Very good,Cooked breakfast would have been nice. But the continental breakfast was fine,Not Available,8.0
83,Marsha,United Kingdom,Deluxe King Room with Sofa Bed (2 Adults + 2 Children),1 night ·  August 2020,Family,Reviewed: 19 August 2020,Very good,Lovely large room. Clean.,Only 3 types of pizza as a choice for a meal in the Ruba bar.,8.0
84,Larenn,United Kingdom,Deluxe King Room,1 night ·  July 2020,Couple,Reviewed: 19 August 2020,Very good,Nice stay,I still have received my deposit back,8.0
85,Ian,United Kingdom,Double Guest Room,1 night ·  August 2020,Solo traveller,Reviewed: 18 August 2020,Great as always,"Very clean room and friendly staff. Aircon is always a plus, especially with the hot and humid conditions","Parking was available, however, it is very restricted in numbers",10
86,Michelle,United Kingdom,Twin Executive Room,1 night ·  August 2020,Solo traveller,Reviewed: 17 August 2020,Exceptional,This hotel was friendly welcoming and the staff are amazingly accommodating.,There was nothing I did not like about the property.,10
87,Deborah,United Kingdom,Family Room with Double Bed,1 night ·  August 2020,Family,Reviewed: 15 August 2020,Great place to stay with kids to explore Carary Wharf,"We were upgraded to a family suite which was excellent. One king bed, one pullout double and one single. Room had great view",nothing,10
88,Jing,United Kingdom,Double Guest Room,2 nights ·  August 2020,Couple,Reviewed: 14 August 2020,"Comfortable, clean stay","The hotel room is very clean, the room was very quiet. Facilities was good as well.","The bed for double room is quite small for two person, not very comfortable in our sleep.",8.0
89,Kerry,United Kingdom,Executive King Room,2 nights ·  August 2020,Couple,Reviewed: 13 August 2020,Exceptional,"Lovely hotel. The staff were friendly & helpful. 
The room was great .... just what we needed. (36 degrees so the air con was a dream)
Unfortunately due to COVID not everything was available but we knew that when we booked.",Not Available,10
90,Daisy,United Kingdom,Double Guest Room,1 night ·  August 2020,Couple,Reviewed: 11 August 2020,Superb,Lovely friendly hotel - let us keep our luggage in a private room all day until we were ready to collect !,N/A,9.0
91,Anne,United Kingdom,Twin Guest Room,1 night ·  August 2020,Family,Reviewed: 11 August 2020,Very pleasant comfortable hotel in great location.,"The room was very large and had fabulous air conditioning, so a welcome respite from the 36 Deg heat outside ( yes really, in London). It was also great having secure underground parking. 
The food available was very limited BUT we are in the middle of Covid 19 crisis so I was just grateful for what was available, which was very tasty.
Staff were friendly and efficient. 
Finally, the location right by the DLR in the heart of Canary Wharf was perfect.","The food selection was very limited, but I am honestly not complaining about this at all as completely understandable in the present health situation.",9.0
92,Hunter,United Kingdom,Double Guest Room,1 night ·  August 2020,Solo traveller,Reviewed: 10 August 2020,"Comfortable, Clean and Convenient","Hotel ideally situated for work on Canary Wharf. Limited food options, but no problem at least the bar was open on this occasion! Room upgraded which was a nice touch and this time thankfully a fully operational and functioning shower!!
Friendly staff and felt clean and comfortable.",More dining options but in the current climate I understand.,8.0
93,Abdul,Ireland,Double Guest Room,4 nights ·  August 2020,Couple,Reviewed: 10 August 2020,Exceptional,I was upgraded to the deluxe suite which was very big and comfortable. A lot of space to move around.,It got cold in the room at night and couldn't find any options to turn the heating up.,10
94,Lucy,United Kingdom,Deluxe King Room with Sofa Bed (2 Adults + 2 Children),1 night ·  August 2020,Family,Reviewed: 10 August 2020,Superb,"Excellent for a family stay, great to be so near the tube,",Not Available,9.0
95,Cheryl,United Kingdom,King Junior Suite,1 night ·  August 2020,Family,Reviewed: 8 August 2020,"Excellent hotel, great area","Friendly but professional staff. We’ll set up after Covid, hand cleansers readily available in multiple areas.
Lovely rooms, well appointed and exceptionally clean. Definitely would stay there again","Restaurant closed, but understood why",10
96,Rahul,United Kingdom,Double Guest Room,1 night ·  August 2020,Solo traveller,Reviewed: 4 August 2020,Very good,Nice location quiet and some good restaurants nearby. Easy walk to Canary Wharf. Room was well presented and the excellent air conditioning a bonus during the heatwave,Not Available,8.0
97,Grace,United Kingdom,Double Guest Room,1 night ·  July 2020,Couple,Reviewed: 26 July 2020,Exceptional,"Everything was perfect . Nice big clean room .
Staff amazing .",Not Available,10
98,David,United Kingdom,Double Guest Room,1 night ·  July 2020,Solo traveller,Reviewed: 24 July 2020,very good,"Staff were very pleasant and very helpful, everything suited my needs",all fine,10
99,Damien,United Kingdom,Deluxe King Room,1 night ·  July 2020,Couple,Reviewed: 19 July 2020,Exceptional,View of construction site was the only downside to our stay,Not Available,10
100,Noor,United Kingdom,Double Guest Room,1 night ·  July 2020,Couple,Reviewed: 17 July 2020,Brilliant,Everything,Less plugs No windows opened,10
101,Abdullah,United Kingdom,Double Guest Room,2 nights ·  July 2020,Solo traveller,Reviewed: 15 July 2020,Exceptional stay and convenient location,"Location and convenience of location but above all I would like to commend the lovely Theresa Vitiello who arranged the access card for me gave me good advice of getting complimentary access to WiFi by joining Hilton honours, for upgrading my room to one that was more suitable for me in terms of higher level floor and a view. Theresa was accommodating polite well mannered efficient very approachable and though it’s non related to the customer service side of things she is a very beautiful looking lady who made me feel welcomed at Hilton hotel. I highly commend her for her positive character and wish only good things for her and for the future thanks again Theresa you made my stay the best !",Not Available,10
102,Gratiella,United Kingdom,Double Guest Room,4 nights ·  July 2020,Solo traveller,Reviewed: 12 July 2020,Exceptional,Staff very friendly and professional. Excellent location . All very good 😊,Not Available,10
103,Natalie,United Kingdom,Double Guest Room,2 nights ·  March 2020,Couple,Reviewed: 27 May 2020,"Fabulous location, fabulous staff",Staff we so friendly. Lovely bar staff also.,Not Available,9.0
104,John,United Kingdom,Double Guest Room,1 night ·  March 2020,Couple,Reviewed: 4 April 2020,Very good,Great location for visiting Docklands or the O2. Comfortable. Good restaurant and nice breakfast.,Nothing,8.0
105,Jane,United Kingdom,Double Guest Room,1 night ·  January 2020,Solo traveller,Reviewed: 26 March 2020,".Excellent all round, very comfortable accommodation, quiet, clean, spacious, highly recommended,","Location was very convenient for the office, and the room was fantastic, large, clean and a lovely bathroom.",Breakfast included in the room rate would've been good,9.0
106,Andy,United Kingdom,Deluxe King Room,1 night ·  February 2020,Couple,Reviewed: 19 March 2020,Excellent,Great location,Not Available,10
107,Derek,United Kingdom,Executive King Room,2 nights ·  March 2020,Couple,Reviewed: 16 March 2020,Very impressed with all aspects of the hotel! Looking forward to returning some time !!,"The room and its facilities, wonderful breakfast and the fabulous staff ! Special thanks to Jaya who was wonderful !",Leaving,10
108,Rebecca,United Kingdom,Executive King Room,1 night ·  March 2020,Family,Reviewed: 16 March 2020,Exceptional,Great location for the tube and O2.,Nothing,9.6
109,Mae,United Kingdom,Family Room with Double Bed,2 nights ·  March 2020,Family,Reviewed: 15 March 2020,Good,"Good location, clean and staff are very helpful.",Location,7.9
110,Dawn,United Kingdom,Double Guest Room,1 night ·  March 2020,Couple,Reviewed: 15 March 2020,Brightened our weekend,It’s ease to get to. Comfortable surroundings had an amazing nights sleep,Nothing,10
111,Louise,United Kingdom,Double Guest Room,1 night ·  March 2020,Couple,Reviewed: 14 March 2020,Outstanding,"I can’t fault anything about this stay. Staff were amazing, cleanliness was spot on, there was a fantastic choice of food, service and staff are a credit to the Hilton Hotel. We’ll be definitely be booking there again",N/A,10
112,Thomas,Germany,Double Guest Room,1 night ·  March 2020,Group,Reviewed: 14 March 2020,Good,"nice
view",Not Available,7.9
113,Evans,United Kingdom,Deluxe King Room,1 night ·  March 2020,Couple,Reviewed: 11 March 2020,Exceptional,It was for our very first stay excellent clean room lovely bed lovely pleasant staff the only think was i did ask for some birthday items to be in the room on arrival which didn't arrive but it didn't totally dissapoint our stay and the staff did apologise and assured that it we ever stay again we if anything that was required would certainly be sorted,Not Available,10
114,Melanie,United Kingdom,Double Guest Room,2 nights ·  March 2020,Couple,Reviewed: 9 March 2020,Superb,Location was perfect for the O2 and getting around was easy with lots of transport options,Bed was small,9.2
115,Daniel,Ireland,Double Guest Room,2 nights ·  March 2020,Couple,Reviewed: 9 March 2020,My favourite place to stay in london,One of my favourite hotels to stay in love the the location and staff are always friendly. Room size is excellent and very modern,Only small complaint would be cleaning staff knocked on the door of our last morning about 9am. I thought this was a bit early considering we were to check out at 12.,9.0
116,Keith,United Kingdom,Double Guest Room,1 night ·  March 2020,Family,Reviewed: 9 March 2020,The perfect place to stay in Docklands,"Fantastic large and well equipped room, friendly staff, plenty of space in the restaurant for breakfast which appeared to cater for all tastes with well prepared food. The location was perfect for our visit to the O2 Arena, one stop on the Jubilee line. Docklands is a great area to explore with many restaurants hotels and the Thames.",Cannot think of anything.,10
117,Lynn,United Kingdom,Twin Guest Room,1 night ·  March 2020,Family,Reviewed: 8 March 2020,Good deal- would stay there again and recommend to friends.,Nice big room. Clean. Good bathroom. Close to public transport.,View of building site from the window- can’t be helped though. Breakfast too expensive.,9.0
118,Gillian,United Kingdom,Double Guest Room,1 night ·  March 2020,Group,Reviewed: 8 March 2020,Exceptional,"Very friendly polite staff. Nice to be greeted with a personal hello and asked/remembered I had been out the evening before asking how it all went. Loved the personal executive taxi when asked for it. My bedroom was very comfortable, breakfast was excellent,",Nothing to report,10
119,David,United Kingdom,Deluxe King Room,1 night ·  March 2020,Couple,Reviewed: 7 March 2020,Perfect Stay.,"Perfect location with limited car parking as a bonus. Ideal for financial district, O2 and tube station.
Was made to feel very welcome and the receptionist gave us a large room which was great. The room was clean and well presented with even a nice hand written welcome note. Breakfast was brilliant with a large selection all well presented. The staff were extremely helpful and attentive. A perfect combination to the excellent Mary Poppins. Perfect weekend thank you.",Nothing not to like.,10
120,Sarah,United Kingdom,Deluxe King Room,1 night ·  February 2020,Couple,Reviewed: 5 March 2020,Exceptional,Just beautiful. Great location,Nothing,10
