,Name,Country,Room_stayed,Date_stayed,Trip_type,Review_date,Review_title,Positive,Negative,Reviewer_score
66,Nojmul,United Kingdom,Standard Double Room without Window,1 night ·  September 2020,Couple,"Reviewed: September 13, 2020",For a short break it was great. But better if you can stay until 11am for checkout. Also no spa,"Required to check out too early. I had to pay £20 for two additional hours.
Also, no halal meat options available",Not Available,8.0
67,Vernon,United Kingdom,Standard Double Room,2 nights ·  September 2020,Couple,"Reviewed: September 10, 2020",Ok but if we went again we would want a better room and more comfortable bed.,The normal breakfast was good but vegetarian option was poor. Sanitisation points were good.,"The room had black mould on the fold down shower stool rubber feet.
TV sound kept switching off.
Bed was very hard.",7.0
68,Emilie,Sweden,Standard Double Room without Window,1 night ·  September 2020,Couple,"Reviewed: September 10, 2020",Pleasant,We had an old Can of redbull under our bed,Not Available,6.0
69,Nana,United Kingdom,Executive Double Room,2 nights ·  September 2020,Couple,"Reviewed: September 10, 2020",Very Good,Quite environment,Bedrom decor a bit outdated.,8.0
70,Lauren,United Kingdom,Standard Double Room without Window,2 nights ·  September 2020,Couple,"Reviewed: September 9, 2020",Good,Room was nice. A good size if staying here definitely ask for a window room. Good location. Not far to walk to train station,The pillows were too firm and uncomfortable. Sore neck in the morning,7.0
71,Andrew,United Kingdom,Standard Double Room,1 night ·  September 2020,Solo traveler,"Reviewed: September 8, 2020","Easy, pleasant stay",Clean and hall all I required,Not Available,7.0
72,Eddrrt,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Solo traveler,"Reviewed: September 5, 2020",Very Good,"The receptionist kindly upgraded my (double) room to one with a view.
It was a very large room for one described as a double, especially at the price paid.
The room had nice, old-school, wooden furniture.
It felt like a proper hotel, but could do with some TLC.
It had a nice seating area, with a view of the waters.
The location is pretty good.","Probably the hotel room could have done with some TLC.
A bit kitschy?",8.0
73,Jahangir,United Kingdom,Standard Twin Room without Window,1 night ·  August 2020,Solo traveler,"Reviewed: September 5, 2020",Ok,Ok,Take care of guests,6.0
74,Paul,United Kingdom,Standard Double Room,1 night ·  July 2020,Couple,"Reviewed: September 5, 2020",great value,great value,Due to covid19 conditions there was no staff at hand,7.0
75,Monica,United Kingdom,Standard Twin Room without Window,1 night ·  August 2020,Couple,"Reviewed: September 4, 2020",It's ok,"After my last visit last year. I decided to try them again. Much improvement. They only need to improve the bed. I love very soft bed. Overall I will say 4,star",Mattress,7.0
76,Alan,United Kingdom,Executive Double Room,1 night ·  August 2020,Family,"Reviewed: September 3, 2020",Good,Good staff,Not Available,7.0
77,Catarina,United Kingdom,Standard Double Room without Window,10 nights ·  September 2020,Solo traveler,"Reviewed: September 1, 2020",Good,Location and view,Not Available,7.0
78,Abdel,United Kingdom,Standard Double Room,2 nights ·  August 2020,Couple,"Reviewed: September 1, 2020","Good experience all together, I’d use again",Excellent location and good hotel,£25 parking,7.0
79,Sonia,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Couple,"Reviewed: September 1, 2020",Pleasant,The bathroom,they made us pay extra for a quick check in room,6.0
80,Jonathan,United Kingdom,Standard Double Room without Window,3 nights ·  August 2020,Couple,"Reviewed: September 1, 2020",Good place to stay...if you don't come with a car!,Good quality - price location,"Charging £25 for the car parking per day...that is stealing. It should be free for the customers, like any other place! There are no other places to leave your car around, come on! The pressure for hot water is very low, you might want to sort that aswell",6.0
81,Tengyue,United Kingdom,Standard Double Room without Window,3 nights ·  August 2020,Solo traveler,"Reviewed: August 31, 2020",Good,The traditional decor and gorgeous Docklands view is amazing.,Had to pay for internet. Not great!,7.0
82,Sarah,United Kingdom,Executive Twin Room,2 nights ·  August 2020,Family,"Reviewed: August 31, 2020",Very Good,Great location,Not Available,8.0
83,Patrick,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Solo traveler,"Reviewed: August 31, 2020",My stay was nice and comfortable,Phone in room wasn't working. Wifi was limited to 20 minutes in the room,Not Available,7.0
84,Charles,United Kingdom,Standard Double Room without Window,3 nights ·  August 2020,Couple,"Reviewed: August 31, 2020",Good,Like the decor and the food was lovely,No hot water to have a Barth on are second night. Reception just said leave it for a bit and then try again 😡. Location was ok but Biulding work next door made a lovely view.,7.0
85,Subin,India,Standard Double Room without Window,1 night ·  August 2020,Solo traveler,"Reviewed: August 30, 2020",Pleasant,Room is good,Lift not working properly.,6.0
86,Lisa,United Kingdom,Executive Double Room,2 nights ·  August 2020,Couple,"Reviewed: August 28, 2020",Very Good,"We had an issue Friday night and they could not have been more helpful, free drink vouchers and moved our room and gave us a free upgrade for our 2nd night,","Didn't like the fact that Booking. Com miss sold the room, you advertise things that are not there and have not been in the rooms for 4 years,",8.0
87,Anke,United Kingdom,Standard Twin Room without Window,1 night ·  August 2020,Group,"Reviewed: August 27, 2020",I was very satisfied.,Easy and friendly check-in. Room was spacious and comfortable with a nice size bathroom. Everything that I expected and a little bit more. The hotel is located on the waterfront with a large selection of shops and restaurants and all things bright and beautiful which are attractive to tourists so it really was an ideal location.,Free wifi only in the lobby otherwise paid wifi.,8.0
88,Robert,United Kingdom,Standard Double Room,2 nights ·  August 2020,Solo traveler,"Reviewed: August 26, 2020",Good,Lovely old hotel,"Some staff rude, cleanliness not good",7.0
89,Samuel,Brazil,Standard Double Room without Window,1 night ·  August 2020,Couple,"Reviewed: August 24, 2020",Very Good,"I love the bar , excellent",Not Available,8.0
90,Kemal,Turkey,Standard Twin Room,2 nights ·  August 2020,Group,"Reviewed: August 23, 2020",Good,👍,Not Available,7.0
91,Tengyue,China,Standard Double Room without Window,1 night ·  August 2020,Solo traveler,"Reviewed: August 23, 2020",Pleasant,No WiFi included,Not Available,6.0
92,Lloyd,United Kingdom,Standard Twin Room without Window,7 nights ·  June 2020,Couple,"Reviewed: August 23, 2020",Good,It was covid 19 only open to key workers at the time of my stay the staff was fantastic for the time of my stay,Not Available,7.0
93,Jiahao,United Kingdom,Standard Double Room without Window,2 nights ·  August 2020,Solo traveler,"Reviewed: August 21, 2020",Very Good,decent price and good location for a short stay,lousy neighbours but I guess I can't really blame the hotel for it,8.0
94,James,United Kingdom,Standard Double Room without Window,2 nights ·  August 2020,Couple,"Reviewed: August 20, 2020",Excellent Price,The price and location were great.,"The lack of free Wi-fi in 2020 is pretty poor.
Parking was very expensive.",7.0
95,Mohammed,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Solo traveler,"Reviewed: August 19, 2020",Good,The staff (Syl) was very professional and friendly.,Not Available,7.0
96,Abdul,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Couple,"Reviewed: August 19, 2020",One favourite hotel,Great location,No hairdryer,7.0
97,Gail,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Group,"Reviewed: August 18, 2020",Great value for a basic room.,"Very cost effective. Location is great for Canary Wharf. Basic but good room. Bit weird that there was a window in the roof, but no external window. Also, why are there odd and even rooms separated?","Bit weird that there was a window in the roof, but no external window. Also, why are there odd and even rooms separated? Had to queue for 20 minutes to check in.",7.0
98,Travellingduck,United Kingdom,Standard Double Room,3 nights ·  August 2020,Couple,"Reviewed: August 18, 2020",Cheap and cheerful but nothing amazing,The bath was huge!,The bed was extremely uncomfortable - it was incredibly tough and there were hairs in the bedding. Not very nice,7.0
99,Sham,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Solo traveler,"Reviewed: August 18, 2020",Very Good,Great value for your money,bed was firm and not very comfortable,8.0
100,Grace,United Kingdom,Standard Twin Room without Window,3 nights ·  August 2020,Couple,"Reviewed: August 17, 2020",Very Good,"I had made a mistake on booking my room booking a twin room instead of a double. I called prior to arriving and asked to change my reservation, the person attending the reception desk was very helpful and made the amendment without any issues. On arriving and checking in I was told that our room had been upgraded to a room with windows free of charge, usually a £20 p/night difference in price. Overall, we were very happy 😊",Not Available,8.0
101,Mohamed,United Kingdom,Standard Double Room,2 nights ·  August 2020,Couple,"Reviewed: August 17, 2020",Nice,Most of the things,View,8.0
102,Kevin,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Couple,"Reviewed: August 16, 2020",Good,"Not what I was expecting, a basement room; felt claustrophobic",The tightness of the rooms,7.0
103,David,United Kingdom,Executive Double Room,2 nights ·  August 2020,Couple,"Reviewed: August 15, 2020",Good location for exploring,"+ Great Location
+ Good Breakfast
+ Nice Bar
+ Decent sized room (Exec Double)","+ No daily house keeping
+ Hair Found in bed
+ Noisy/ Poor Aircon
+ Shower from bath taps",7.0
104,Wellington,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Couple,"Reviewed: August 15, 2020",Value for money,Space in the roon6,Gray location,7.5
105,John,United Kingdom,Standard Twin Room without Window,1 night ·  August 2020,Solo traveler,"Reviewed: August 15, 2020",great value for money in a spectacular part of London,Value for money... the room a bit basic but great for the price. Good meal in the restaurant. Clean room,Bathroom attached to my room obviously intended for use by disabled/wheelchair user - hand basin very low. No window in the room - but the room itself was spacious and the bed comfortable. Okay for me on a one-night stay,7.0
106,Victoria,United Kingdom,Standard Twin Room,2 nights ·  August 2020,Family,"Reviewed: August 13, 2020",Amazing location and really nice people,Amazing views and they upgraded us to an executive room,Not enough sockets near the bed,8.0
107,André,Jersey,Standard Double Room without Window,2 nights ·  August 2020,Solo traveler,"Reviewed: August 13, 2020",Value for money,"Good location, friendly staff, and decent facilities. The staff was kind to give a complimentary upgrade with a windowed room.",Basic bed and limited internet,7.0
108,Jennie,United Kingdom,Standard Double Room,1 night ·  August 2020,Solo traveler,"Reviewed: August 11, 2020",Short stay,Location. Staff were very friendly,Rooms are bit old fashioned air conditioning blew thick dust from it.,8.0
109,Mamusu,United Kingdom,Standard Double Room without Window,2 nights ·  August 2020,Couple,"Reviewed: August 11, 2020",Pleasant,Ok,The water in the skin melt,6.0
110,Jo,United Kingdom,Standard Double Room without Window,3 nights ·  August 2020,Solo traveler,"Reviewed: August 10, 2020",Very Good,The staff are very helpful.,Wifi was patchy.,8.0
111,Raju,United Kingdom,Standard Double Room,2 nights ·  August 2020,Couple,"Reviewed: August 6, 2020",Pleasant,Prime location,Bit old stuffs,6.0
112,Ashish,United Kingdom,Standard Double Room,1 night ·  August 2020,Group,"Reviewed: August 4, 2020",Excellent,Location and room space,N/A,8.0
113,Donald,United Kingdom,Standard Twin Room without Window,2 nights ·  August 2020,Couple,"Reviewed: August 3, 2020",Very Good,It was nice and friendly,Nothing,8.0
114,Danielle,United Kingdom,Standard Double Room without Window,1 night ·  August 2020,Couple,"Reviewed: August 2, 2020",Good value,Very clean and the staff are very friendly. Overall a good value for money,"Had no water in the rooms, when I asked for some at reception, he came back with a pint glass of water only",6.0
115,Alain,United Kingdom,Standard Double Room,1 night ·  July 2020,Couple,"Reviewed: August 1, 2020",Good,"Overall good. However borderline vintage; may need some updating i.e. Carpet, car park, etc.",Not Available,7.0
116,Kasper,United Kingdom,Standard Double Room,2 nights ·  July 2020,Solo traveler,"Reviewed: July 26, 2020",It was ok,It was ok,It was ok,6.0
117,Jill,United Kingdom,Standard Double Room,1 night ·  July 2020,Couple,"Reviewed: July 24, 2020",Very Good,"Quick efficient check in
Large room",Not Available,8.0
118,Fateha,United Kingdom,Standard Double Room without Window,1 night ·  July 2020,Couple,"Reviewed: July 23, 2020",Comfy,"Location was near canary wharf and was planty food shops around area with a tescos too. 
Room was very large looked like a living room! Room 106 ground floor ((double bed without window)) had trouble turning tv on but called front desk sent an electrician straight away resolved problem. Nice mural of paris on the wall bathroom big and clean had a bathtub too really comfy.",Bed was 2 twin mattresses pushed together so it was very large but you can feel the division in the middle was uncomfortable.,8.0
119,Thi,United Kingdom,Standard Double Room without Window,1 night ·  July 2020,Solo traveler,"Reviewed: July 20, 2020",Pleasant,"I like the furniture and how comfor table it is with the price .However, I think the hotel should provide the charger service. When i ask to borrow the charger for my phone , they said no charger in the hotel.",The staff should be more enthusiastic,6.0
120,Jake,United Kingdom,Standard Double Room without Window,2 nights ·  July 2020,Couple,"Reviewed: July 20, 2020",Good,Great with the exception of parking fees and noisy building site next door.,Not Available,7.0
121,L4s,United Kingdom,Standard Double Room without Window,1 night ·  July 2020,Solo traveler,"Reviewed: July 16, 2020",Very Good,Balcony facing the flowing water and thereby resulting into cool fresh air,Value for money,8.0
122,Charlotte,United Kingdom,Standard Twin Room without Window,3 nights ·  July 2020,Group,"Reviewed: July 15, 2020",Very Good,Cheap.,Nothing,8.0
123,Ataur,United Kingdom,Standard Double Room without Window,1 night ·  July 2020,Couple,"Reviewed: July 12, 2020",Very Good,Location was excellent and the lake near by,Not Available,8.0
124,Ausra,Spain,Standard Double Room,4 nights ·  July 2020,Solo traveler,"Reviewed: July 11, 2020",Very Good,"Size of the room, view, location",Swimming pool is closed,8.0
125,Louise,United Kingdom,Standard Double Room,1 night ·  July 2020,Couple,"Reviewed: July 11, 2020",Very Good,Great location and very clean.,Nothing,8.0
126,Ian,United Kingdom,Standard Double Room,2 nights ·  July 2020,Solo traveler,"Reviewed: July 10, 2020",Very Good,Convienient,No breakfast available,8.0
127,Lauren,United Kingdom,Standard Double Room,1 night ·  July 2020,Couple,"Reviewed: July 9, 2020",Good,No fridge in room - or option to buy refreshments from reception/ happy to pay would like option of cold drinks soft or alcohol. Only tea available in room / coffee.,Option of drinks,7.0
