Title,Review,Date,Rating
Affordable Quality,"We arrived near to the hotel whilst the London Marathon was on. A great bonus. The hotel staff were all friendly,extremely polite and very helpful. Our room was beautiful.Clean, tidy fresh and inexpensive for London. We saw at the O2 that night Neil Sedaka. The underground train from the O2 took 5 minutes to bring us to thecanary wharf stop. The walk back to the hotel was through buildings that had security guards on 24 hour watch. very very safe. lovely trip lovely hotel lovely people go for it",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_40""></span>"
Angela,National holidays booked in a three bedded room with my husband and 15 year old daughter. On booking the girl rang the hotel too. To find the room with a put-up bed. Totally unsuitable. Paperwork states 3 bedded room. No compensation no apology and paid full price for 3 adults. Disgusted with the lack of empathy or resolution to the problem. No manager to speak to. Just concierge.  Spoilt our holiday,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_20""></span>"
Avoid,"You will see from my profile that I don't do hatchet jobs but this deserves one. From the hopeless check in, to the noisy rooms next to the Railway, to the aircon that doesn't work, to the complimentary drink of apology that I later found had been charged to my room, and on checkout mo one asked how the stay had been...... Vast majority of hotels get the basics right so don't bother with this one",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Box room,"Visited London, with my daughter age 8, to watch the Army Navy rugby game. Arrived on the Friday morning, and we're allowed to go to the room early, 1130 am. Had booked through booking.com. I had booked breakfast.  On arrival , was told that the booking didn't include breakfast, and it was going to be £10 extra per person per day. The price was for a double room, with no windows. Once in the room, through the maze of corridors never walked the same route twice,found it to be a box room with a double bed.The bathroom was smaller than my flats. The hotel was near the river bus, and the tube which is handy. There is WiFi, and it's free for ,20 minutes. I've stayed in better Britannia hotels before and cheaper ones too. Totally disappointed in the hotel, and wouldn't recommend.",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
cheap/ good location for visiting London,ok. so the international isn't going to get an award for best breakfast or swanky rooms but it's adequate and in the brittania style. Ask for a room upgrade and make sure you book on groupon. Don't pay full price.  The hotel is in a great location and we had a nice and quiet weekend. 5 min walk and it was Very easy to jump on London transport and get anywhere pretty quick.  breakfast was cooked well and plentiful but its all cheaper end products.  Staff are helpful but typically a mix of foreign workers. Some staff are better english speakers than others. The room was cleaned but carpets stained. The hotel needs a refurb pretty desperately. All pretty basic and bed a little uncomfortable but it's ok. Its cheap and well located. Good if all you need is a cheap bed in town. my,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Comfortable 1 night stay close to O2 arena,"We wanted a hotel in a good location for O2 arena at a sensible price. We paid £139 for a double room, no window and no breakfast and I'd say it was a fair price for the location. We were offered a complimentary upgrade to room with window but were told it would be two single mattresses zipped together - they were in fact just twin beds. We didn't really mind as it was a functional stay without much time in the room. It is 10mins walk from Canary Wharf tube and that is one stop away from the O2 - we were there within 25 mins so that was great. The hotel staff were really helpful and check in was fast. They were only too willing to provide extra toiletries for the room when I asked. Generally attentive with plenty of smiles all round! The hotel is a bit tired and the room had a",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Comfortable cheap Hotel,"Just had a long weekend stay over Easter and found the Hotel just about acceptable. Comfortable if tired rooms and furnishings throughout the Hotel.  Take no notice of anything that says free WiFi because its not. You get a token free 20 minutes. Breakfast Ok if you don't mind queuing, Evening Carvery which we experienced was not particularly good.  Location is pretty good, handy for Tube DLR and River taxi. 02 not far. Second time staying here and will probably not stay again as I believe it is well overdue a good refurbishment. Lots of building work going on around the Hotel which makes the roads locally somewhat dangerous. Nearer a 2 star rather than a 4 star.",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Could be better,"Our room initially seemed lovely - very spacious and light with the full length windows. A very reasonable price also at £55 for one night (although we had received a complimentary upgrade to a room with a window). However there are a number of things which hindered the room preventing it from a 4* or 5* rating. Firstly our double bed consisted of two single mattresses bolted together. The room was very very warm, and the air conditioning was poor not making the entire room cool and taking an age to do any sort of temperature change. It was also rather noisy. Wifi in rooms also costs £7 per day (!!!!) apart from a free 20 minute session - when every single tube station now has free wifi, how can't a hotel situated right by Canary Wharf not? The hotel does have a pool, gym, bar",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
food is terrible,we stayed for 5 days at this hotel with national hollidays the hotel is not very clean the food is terrible  we got veg soup every night it said differant soup but it was always the same the food was cold and not very good,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Good location,"We stayed for 1 night in April to visit London and we went to Lindsey Stirling concert. When we went in I was disappointed. I expected a stunning hotel as on the photos and I saw old and dated hallway and room.  However, really good location, I never been on this site of the London. Easy acces to all comunication. Room - old-fashioned and desperately needs refurbishment. There's an old musk smell and a lot of things feel grubby. Although the bed was really comfortable! I woke up happy and rested.  Breakfast was good - buffet - variety of food, different kind of bread, ham, cereals etc. Tastsy. Nice drinks over bar, but old, dirty and smelly sofas to sit on. Not nice.  Overall - Good price £80 per night + £10 breakfast, but I wouldn't stay there again.  If you are not fussy about",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Grand but a bit run down now,"I remember when I first moved to London and stayed in this place and it was so grand.  Now, it still has that same grand feel and the bar by the water is always nice but I can't deny that it all felt a little drab.  The room was functional and I have to say not having a plug socket near the bed is completely unacceptable nowadays.  Charging my phone across the room simply isn't on.  Ended up having to move my bed.  Other than that... I'm giving it four stars for nostalgia but really it's a 3 star hotel nowadays.  The pizza restaurant isn't too bad either.",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_40""></span>"
"Grotty, run down and nothing like the photos.","We recently stayed here for three nights after booking what was billed as a four star hotel. The hotel is seriously shabby and dirty. The room we were initially given was dirty, mouldy and cold. The beds were lumpy and uncomfortable. The heated swimming pool that looked so lovely in the photos was also dirty and cold. To add insult to injury, there was an additional cost. On request we were moved to a better room but it still didn't feel very four star. The lifts were smelly with the odour of urine and marijuana. The hotel was surrounded by building work (not the hotel's fault but guests should be warned) which impeded access to the hotel. The advertised spa facilities were out of action. We didn't have breakfast as other guests advised it was overpriced at £20 and of poor",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Horrible,I chose this hotel as had to go to hotel near Canary Wharf. Did not expect much as I got a good rate for London. When I checked in I asked for Internet and the receptionist said that she asked about that by a lot of clients today. How strange nowadays. Then you can only have it free for 20 Minutes in your room. I forgot my charging cable. The hotel did not have one to borrow and was not able to tell me how long shops are open at Canary Wharf.  Very strange for a concierge not to know that and I was under the impression he did not care at all. Coming up to the lifts it smelled of a mixture of Indian cuisine from the restaurant and pool. The furniture and specially the carpets are pretty run down which ok happens after a while. Coming from the hotel industry myself I know with all,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Hotel by the Waterfront,Good Location for all Canary Wharf offices and attractions.  Rates are very economical for its area.  Good restaurant options inside and outside the hotel.  Very close to DLR and Underground trains.  5-7 mins walk to Canary Wharf mall. Hotel staff are very courteous.  24 hrs WIFI in rooms is chargeable.  SPA and Heated pool is available.  Nice place to stay.  Will recommend.,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_50""></span>"
I had so much hope and I still do but...,"I love the layout of this hotel, it’s so grand or maybe I should of said, it could be. We was given a beautiful upgrade and I loved the spa bath! what this place is lacking is TLC.  The Staff on the welcome desk were very nice and smiled and were pleasant as one would expect, however the staff in the restaurant in the morning during Breakfast, were far from this: None appeared to smile or speak English, none asked if we needed anything when they came and took the plates off the table, while I was still eating. (they removed Items without asking if you were done).  oh and please learn how to cook. A boiled egg is not Grey! its been sitting in warm water for far too long for it to have come out like that. Bacon, sausages and beans, not a hard breakfast but you need to invest in",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
If there was something lower than 1 they have it,"I don't even need to finish the stay to give my feedback. For some reason this time I didn't check trip advisor.   Right from the start a problem with the booking and while trying to sort it out asked/told to move out of the way. Desperate upselling at the desk for dinners and breakfast. As others have said very  dated decor. Bed was hard with very thin mattress that you could feel the springs   The room was 26.5 degrees. Supposedly maintenance would be sent finally someone arrived who obviously was not that but a  staff member. His amazing solution open the window and said the air conditioning is not fast cool.  Door open to try and cool things down  Poor, poor, poor stay somewhere else!",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Just terrible,"Good location and cheaper that other hotels in the area but really one of the worst hotels I have ever visited.  Putting the aesthetics of the dated and shabby rooms to one side, it is physically unpleasant to be in this hotel. Rooms are  too hot, windows don't open, AC doesn't work and there is no bottled water in the rooms.  You have to pay extra for everything e.g. WiFi, adaptors, gym etc and the staff don't seem to care or do not have the power to put things right. Each time  I went to the foyer it was echoing to the sounds of guests complaining and not getting satisfactory answers. At breakfast we bonded with strangers about just how grim it all was.  Would not recommend.",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
London trip,Stayed here with friends for the weekend and found the hotel very nice and well maintained and the rooms were lovely the only fault I found were the beds and pillows were very hard and not very comfy otherwise lovely hotel,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_40""></span>"
Lovely rooms,Lovely hotel from the outside.   The staff are friendly.  The rooms are a good size and clean but a bit dated.  The bathroom is neat and its great that it has a bath to relax in.  The restaurant was nice.  The staff were helpful and you didnt gave to wait long for your food.  It was priced fairly for what you got.  Would stay again.,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_40""></span>"
Lovely stay,I have stayed at this hotel before. The staff are very friendly and the rooms are spotless. It's a 5 min walk to the dlr. There are plenty of bars and shops around also. The rooms are very spacious. The only thing i find expensive is the parking and the breakfast at £10pp per night.,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_50""></span>"
National Holidays,just back from another fab value for money weekend party of 15 of us lovel hotel friendly staff rooms clean just one downside matresses on beds very hard some of us had trouble sleeping good choices on food menu food was lovely bar prices reasonable also this hotel has  other types of resturants inside tube station a few minutes walk away our party enjoyed the weekend,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_50""></span>"
"No window, no temp control, expensive","We paid £139 for a very basic room with no window and no temp control. Felt like we were underground. There was a 1970's wardrobe in the corner of the room with a well used ironing board leaning against it. The room was very warm.  We asked if we could control the room temp or have a different room with a window and were offered a desk fan or a room with a window for £159 for one night. We already felt we had paid well over the odds for a basic room with no breakfast so took the fan.  The ventilation was extremely loud and neither of us slept much because of it.  If you need this for the location then go ahead, if you want a nice hotel stay, suggest you look elsewhere.",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Noisy,"A bit tired ok but clean, good for what we paid, but i write this review in bed now at 1am and there has been constant ""aircraft"" noose bit coming from the surroundings - dont know what it is but it's not stopped since at least 10pm when we came back - of it carries on I will get no sleep... It is not the dlr noise although there is some of that - it it just constant...! Shame...",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Not the cheapest,Needs an overhaul. Very tired decor throughout. Not worth the rate charged.  I don't have much choice but to stay here as it's close to work.   Thinm they should reduce extortionate rates or decorate the place.   Service n staff are great. Surprised the hotel hasn't fell down.,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
OK,"Stayed here on a week long business trip. Great location when working in Canary Wharf and tube station and a good selection of restaurants are local. The hotel is extremely dated and in need of a refurb. £7 a day for wifi and guests have to pay £4 a time to use the pool/gym.  staff were helpful, we had trouble checking in and a young lady on reception, i think her name was Oana gave excellent customer service - so thank you.  The hotel is clean and great location and if you have a thames facing bedroom - a lovely view. It just needs modernising and stop charging for wifi!!",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
One night business trip,"It is the historical hotel in Canary Warf before the wild construction period of the area. Now it is showing the signs of the age and it cannot compete with some of the much modern competitors. However it has an old fashion charme, despite the wear and tear of the structure and the furniture. But the price is affordable, the staff very helpful and the room was large and very clean )bathroom too). Negative point the wi-fi connection supposedly to be limited to 20' in the room and without limitation in the lobby. But I had the impression that the limitation was not working in the room. Gym available, despite I didn't use it. Some restaurants inside, but there are plenty of opportunities in the shopping center at 5' walking. If you cannot afford the brand new hotels, this is a",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Overpriced for what i experienced.,Firstly let me say that there are a few pros - The staff. FANTASTIC. I could not praise them enough. The entrance is grand and you feel welcomed from that point on. What i feel let down by are a few things. Firstly i booked a twin room for me and my running mate through hotels.com not a crime i thought. When my mate dropped out through injury i thought i would upgrade to a family room. I couldn't change my booking apparently. So i booked another twin room. So that's £199 for the first room and £145 for the 2nd. For that money i could of stayed at The Dorchester. The two rooms were lifeless and tired. I must add they were clean though. The beds look like they have just been put together and the rooms looked like they don't normally get used and were just opened due to being,Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_20""></span>"
Really enjoyed our stay ! :),"We have just returned from our stay here 28th to 30th April and we could not fault it. Really enjoyable stay. Staff very polite and helpful. Breakfeast plentiful, with food constantly topped/ up replaced and ran from 7:30am to 10:30am so you didnt have to be up at the crack of dawn! Our room was the best part, on the 11th Floor, we had an incredibly spacious room, very grand in appearance, clean, tidy, amazing views of the Thames and surronding area of Canary Wharf. We had a very large balacony that run along the lengh of about 5 to 6 rooms so we could sit and take in the lovely view.  Very close to 3 choices of underground stations ( we used South Quays and got the DLR train into central london) - was very convinient for travel  We used group on voucher £79 per night with WIFI",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_50""></span>"
Room without window had a window!,"Booked a room for one night as was working in Canary Wharf. Booked a cheap room without a window. At check-in I was given an opportunity to upgrade to a higher level room with a window for £20 extra - I declined. Other people checking in were also being offered the same 'great deal' to upgrade to a room with a window.  When I got to my room I was surprised to see curtains. When I opened the curtains I was even more surprised to see a window, and a view. I wonder if this is just a tactic to get people who book the cheap rooms to part with more money.  The room was ok - as others mention the hotel is old and dated now compared to others in the area - maybe it's days are numbered.",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Stayed in worse .......,"We stayed here for 2 nights as part of a National Holiday bus tour.  First impressions is that it is dated - it states it is the first hotel to be built on Canary Wharf, which really means it is the oldest hotel on Canary Wharf and you can tell as I don't think it has been renovated since then!  Very dated décor, wripped wall paper, worn carpets and quite dark throughout.    However our room was very spacious, clean - it had windows!  We had a nice view of the City and the River.  The DLR runs through Canary Wharf but it wasn't too noisy.  Most importantly the room was quiet on an evening - you never heard any other guests either in the corridor, upstairs etc   We stayed HB and the breakfast was nice, tea on an evening was OK - only served water as a HB option everything else",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
"Stressed out staff, old rooms and instant coffee","I travel with work a lot, I don't expect all the hotels i go to to be amazing but for the location I was expecting something more than tired stressed staff and instant coffee at breakfast.  I stayed for 3 nights and had to get my room card key reset every night, my room was ""cleaned"" ...so they made the bed but didn't replace any tea and coffee I'd used or clean anything else. I realised why this was on the day I checked out as one woman was cleaning all the rooms on my floor, one woman doing a whole floor is why standards drop, they can't possibly expect her to get it all done in time.   My room was too hot and the thermostat was stuck on 29deg, the breakfast is a buffet and if you go at a busy time you will stand queuing for a long time. the breakfast is soggy eggs that are",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_20""></span>"
Swings and roundabouts!!,"The entrance was spectacular!! The rooms - a let down unfortunately.  However the breakfast was one of the best I've had!! Catering for almost all, well done!  Yes would stay again if beds were a little more comfortable and air con stronger 😉",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Trip to London,"Staff friendly,  room big but in need of redecoration. Food was not good at all, a lot of choice but quality was very poor,  there was a lot sent back and left😕. Swimming facilities ok but pool was cool.  From photos and description was expecting something a bit better so I was a little disappointed😕😕",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Try hard to find somewhere else to stay,"I had to put my dog in a kennel in order to visit London to say in this hotel. Next time I'll stay in the kennel and put the dog in the Brittania International. That way I'll know my experience will be much better than last time. Rude, ignorant, unhelpful staff on reception.  Room very tired, aircon not working first night so they unscrewed the window to let some air in, which made the sound of the Docklands Light Railway (DLR) going past every 5 minutes truly memorable. The next day they forgot to fix the aircon and not until the 3rd night did I have a chance of sleep. I really do not have the slightest thing against foreign workers keeping UK hotels afloat, but surely they can find some who have actually learned some English, and have attended the basic manners course?",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Vermin,"Oh how I wish I'd checked the reviews before booking this hotel! I booked a twin room for 2 nights for my niece and myself for (she was leaving after one night). The room overlooked a building site but we could live with that as work stopped for the weekend. Upon leaving our room at 6pm to go for dinner, my niece spotted a rat run across the corridor and into the utility room opposite our room ( number 172 on the first floor). We went into the utility room so she could take a photo. She spotted the rat again but it was too quick. We reported this to the Manager who appeared surprised but apologetic saying he had only started there 2 weeks before. He gave us a complimentary bottle of wine, something I notice on the reviews is a regular feature given what seems to be a high number",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Very tasty food.,"I have just returned from staying at this hotel whilst on a National Holidays 3 day getaway. Firstly the hotel has no information for visitors to London, so you get no maps, no tube, bus or train information. Canary Wharf is a building site and what that means is certain paths are blocked off so using mobile maps leads you up dead ends. The staff keep London maps under the reception desk...out of sight, so please ask for one if you need it. The staff we asked seemed vague of the area. However once we spoke to a very kind Scottish workman, he told us everything we needed to know and really cant thank him enough and in turn we were able to help two further families also stuck as to how to get around. The hotel is tidy although could do with a deep clean and freshen up. The food is",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
Was probably lovely in the 80s,"Stayed here as it was a good price and close to an event we were going to, but where to start? Difficult to find from the station Reception staff were abrupt and unhelpful when they had a problem with the booking. Despite being shown all booking receipts refused to believe my girlfriend's name wasn't Julie like shown on their computer Rickety lifts took us to our floor and no directions to room numbers Room was obviously once nice but now in need of updating. Furniture cracked, beds uncomfortable, shower leaking. Air con made no difference to the oppressive heat and no way to open a window meant an awful night's sleep There is the usual hotel bar which wasn't so bad, there is also a bar attached which I found is only open til 10am?  Overall when compared to a similarly priced",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_20""></span>"
Weekend stay in London,"Not much to say. Stayed in a Standard Deluxe room which was a good size. Tv was small in comparison to the room and because the room was large, meant it was about 50 feet away . Only 1/2 hour free WIFI, not impressed. Jacuzzi bath was a nice touch , but the mattress was thin and the bed was hard. Friends stayed in another room and their bed was the same. Breakfast and evening meal where satisfactory . I probably would stay in the room again , but only if I couldn't find a nicer hotel.",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_30""></span>"
What a surprising let down,"This place is on its last legs. The food is terrible. I did not even attempt to take a picture of it. We ate in the Italian themed restaurant. The food tasted as though it had been store bought and reheated. The staff in the restaurant were good the lady very bubbly. The check in process was very swift no issues there. The room....a complete mismatch of everything and it desperate need of a complete overhaul and had the most audible air conditioning unit i have ever come across. it made noise even when it wasn't on?? How??. The sink was very slow to clear took nearly 5 minutes to empty even with the plug removed. The carpet was red and garish with a split in it that was clearly visible and almost looked encouraged. The bed was lumpy, rickety, noisy and annoying squeaking with",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Worst four star hotel I've even been in,"Really needs an upgrade or to be closed. There is no way this hotel should be allowed to say it's 4 star. It's shabby, not particularly clean and very uncomfortable. The decor is incredibly dated with threadbare patches in the carpets and pealing wall paper.  I'm not sure the mattresses have ever been changed since the hotel opened. My bedroom window didn't open meaning I had to rely on very noisy air conditioning just to keep the temperature down to anything close to acceptable and even then it was still too hot.  It's not even particularly cheap. Do not stay here.",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Would not stay here again,"I would definitely not stay at this hotel again. My work booked a standard double room for me. When I arrived the lady at the reception offered me a ""free upgrade to a much bigger executive room with an amazing view"". That executive room is a standard size room with twin beds rather than a double and the window overlooks a massive construction site and there is a train line right outside too with trains going by every 3 minutes. It's so loud I can hardly hear the TV.  At the reception they offered me a 3 course meal at their restaurant for £12,50 which I bought. That was a buffet in their restaurant called Jenny or Jennifer. The food was disgusting! It was tasteless, some of the foods were over cooked like the roast potatoes that were as soft as mash. The dessert cheesecake",Date of stay: April 2017,"<span class=""ui_bubble_rating bubble_10""></span>"
Best value for money!,"I must say this is the best place to stay if you have a limited budget. Location was awesome! Just 5-10 min walk to nearest stations.  Very well connected to all tourist destinations. Hotel room was very calm and peaceful. Provides you various facilities like Gym, swimming pool etc. If you are looking forward for a London trip and do consider this hotel.",Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_50""></span>"
Cheap,Yes it’s not that good. Having two bouts of 20 minute free WiFi is not modern standards. The decor is dated and my wallpaper peeling. The buffet at night is mostly poor (the lasagne was good but I’d struggle to suggest much else) and service poor (no glasses for the water). Breakfast was soso. But it’s cheap. So you take your choice.,Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
"Dirty Window, Wifi Not Free in Rooms","The windows are filthy, we could barely see out of them. Shame because they have some nice sitting areas near the windows. Wifi is only free in public areas. Rooms tired. The mattress was horrific and I woke up multiple times due to side/back pain. OK for two nights but not any longer than that.",Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
"Filthy, uncomfortable, broken show. Worst choice possible.","This establishment was responsible for the single worst night of sleep I have ever had 😡  NO free WIFI, NO conditioner, broken shower, disgusting mattress.  I was staying in room 1033. You can feel every spring of the stiff, threadbare, double mattress dig into your back as you try to sleep. I was in London on business and had meetings all day for which I was  thoroughly unrested.  We arrived around 11pm, and if it hadn't been so late we would have left immediately after seeing the room.   There was a hair in the bathroom sink, peeling wallpaper, stains on the filthy room service menu and a carpet at least twice my age.  What's more, the shower fluctuated constantly between hot and cold. The thin walls allowed the 6am conversations of other guests to drift directly through. The",Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Good and clean.,"The hotel is very clean, the rooms are confortable and the location is perfect, on a very nice neighborhood and just 10 minutes walking to the Metro. Just a thing to mention: they claim to have free wifi connection, but it olny works (and it does not work very well) only at the reception. If you want connection in your room, you have to pay extra. But anyway the relation quality-price is very good. Recommended.",Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
Good value for a deal,"Got this hotel on a deal website - just stayed for the one night. Main attraction is the location - in Canary Wharf and easy access to a lot of London. There are lots of facilities in the hotel, however I don’t feel the most is made of them - they’re all just okay. The pool and spa could be fantastic but seems old and not well kept. The same for the breakfast - could be great but just average.  Little things like rust and broken buttons in the lift or crap showers take away from the overall charm. The rooms are old fashioned in design but this adds to the quirks of the hotel. Overall if they improved things like the facilities and kept it traditional yet clean and polished they could charge more and this would be a top hotel. Did us well for one night and definitely worth it as",Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_30""></span>"
Good value hotel near Canary Wharf,"The two of us stayed for just one night in London. Great value for the price and location. The hotel decor is a little dated and doesn’t seem to have been updated since the hotel opened in the 1980s. However, the room was clean and comfy and the staff were friendly. We’ll stay here again.",Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_40""></span>"
Great Value,This hotel considering it's position is great value £50 per night at date of writing this including breakfast and dinner..  Close to Jubilee line and we also had a warf view. Breakfast and evening meal were buffet and of a good standard. On our re - visit list for sure. Ian,Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_50""></span>"
I guess you get what you pay for...,"...but judging on this place we still paid too much!  It’s dated and in need of a major spruce up  Great location about 5 minutes from Canary Wharf shopping and tube  That’s the only thing in its favour   Free breakfast but skip it. That was poor, really poor. The service was poor too.   For somewhere that prides itself on being one of the first hotels in the area I would have thought that the number of breakfasts they prepared they might be able to get it right.   They haven’t.",Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_10""></span>"
Just got back from a weekend break at this Hotel,"Just spent a lovely weekend at this hotel and couldn't find fault with it. Ok the rooms were a little dated, but clean and a lovely size. The food was really lovely as were the staff. We had bed, breakfast and evening meal here.",Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_50""></span>"
Lovely hotel,"Hi, Booked a short weekend break via central booking office, but there was a slight mix up with the booking. The ladies on reception sorted this very quickly and were very helpful. Our room was soon sorted, For us to enjoy the rest of our weekend. Rooms clean and all we needed.  Mr & Mrs Hammond",Date of stay: April 2018,"<span class=""ui_bubble_rating bubble_50""></span>"
